PT,AU,BA,BE,GP,AF,BF,CA,TI,SO,SE,BS,LA,DT,CT,CY,CL,SP,HO,DE,ID,AB,C1,RP,EM,RI,OI,FU,FX,CR,NR,TC,Z9,U1,U2,PU,PI,PA,SN,EI,BN,J9,JI,PD,PY,VL,IS,PN,SU,SI,MA,BP,EP,AR,DI,D2,EA,EY,PG,WC,SC,GA,UT,PM,OA,HC,HP,DA
J,"Ng, EST; Tambyah, PA",,,,"Ng, Esther S. T.; Tambyah, Paul Ananth",,,The Ethics of Responding to a Novel Pandemic,ANNALS ACADEMY OF MEDICINE SINGAPORE,,,,,,,,,,,,"Recent epidemics and pandemics have highlighted a number of ethical concerns about the response to the increasing threat of emerging infectious diseases. Some of these ethical concerns are very fundamental. They include why a pandemic was declared, how much clinical information can be collected for public health without threatening patient confidentiality and how to ensure fairness in the distribution of resources. We discuss these issues and suggest approaches to resolve these dilemmas as we anticipate the next pandemic.",,,,,,,,,,,,,,,,,,,,,,JAN,2011,40,1,,,,,30,35,,,,,,,,,,WOS:000287891500005,,,,,
J,"Dutkiewicz, J; Cisak, E; Sroka, J; Wojcik-Fatla, A; Zajac, V",,,,"Dutkiewicz, Jacek; Cisak, Ewa; Sroka, Jacek; Wojcik-Fatla, Angelina; Zajac, Violetta",,,Biological agents as occupational hazards - selected issues,ANNALS OF AGRICULTURAL AND ENVIRONMENTAL MEDICINE,,,,,,,,,,,,"There are two main groups of biological agents regarded as occupational hazards: allergenic and/or toxic agents forming bioaerosols, and agents causing zoonoses and other infectious diseases. Bioaerosols occurring in the agricultural work environments comprise: bacteria, fungi, high molecular polymers produced by bacteria (endotoxin) or by fungi (beta-glucans), low molecular secondary metabolites of fungi (mycotoxins, volatile organic compounds) and various particles of plant and animal origin. All these agents could be a cause of allergic and/or immunotoxic occupational diseases of respiratory organ (airways inflammation, rhinitis, toxic pneumonitis, hypersensitivity pneumonitis and asthma), conjunctivitis and dermatitis in exposed workers. Very important among zoonotic agents causing occupational diseases are those causing tick-borne diseases: Lyme borreliosis, anaplasmosis, babesiosis, bartonellosis. Agricultural workers in tropical zones are exposed to mosquito bites causing malaria, the most prevalent vector-borne disease in the world. The group of agents causing other, basically not vector-borne zoonoses, comprises those evoking emerging or re-emerging diseases of global concern, such as: hantaviral diseases, avian and swine influenza, Q fever, leptospiroses, staphylococcal diseases caused by the methicillin-resistant Staphylococcus aureus (MRSA) strains, and diseases caused by parasitic protozoa. Among other infectious, non-zoonotic agents, the greatest hazard for health care workers pose the blood-borne human hepatitis and immunodeficiency viruses (HBV, HCV, HIV). Of interest are also bacteria causing legionellosis in people occupationally exposed to droplet aerosols, mainly from warm water.",,,,,,,,,,,,,,,,,,,,,,,2011,18,2,,,,,286,293,,,,,,,,,,WOS:000298829200022,,,,,
S,"Atluri, VL; Xavier, MN; de Jong, MF; den Hartigh, AB; Tsolis, RM",,"Gottesman, S; Harwood, CS",,"Atluri, Vidya L.; Xavier, Mariana N.; de Jong, Maarten F.; den Hartigh, Andreas B.; Tsolis, Renee M.",,,Interactions of the Human Pathogenic Brucella Species with Their Hosts,"ANNUAL REVIEW OF MICROBIOLOGY, VOL 65",Annual Review of Microbiology,,,,,,,,,,,"Brucellosis is a zoonotic infection caused primarily by the bacterial pathogens Brucella melitensis and B. abortus. It is acquired by consumption of unpasteurized dairy products or by contact with infected animals. Globally, it is one of the most widespread zoonoses, with 500,000 new cases reported each year. In endemic areas, Brucella infections represent a serious public health problem that results in significant morbidity and economic losses. An important feature of the disease is persistent bacterial colonization of the reticuloendothelial system. In this review we discuss recent insights into mechanisms of intracellular survival and immune evasion that contribute to systemic persistence by the pathogenic Brucella species.",,,,,,,,,,,,,,,,,,,,,,,2011,65,,,,,,523,541,,10.1146/annurev-micro-090110-102905,,,,,,,,WOS:000299463800027,,,,,
S,"Labonte, R; Mohindra, K; Schrecker, T",,"Fielding, JE; Brownson, RC; Green, LW",,"Labonte, Ronald; Mohindra, Katia; Schrecker, Ted",,,The Growing Impact of Globalization for Health and Public Health Practice,"ANNUAL REVIEW OF PUBLIC HEALTH, VOL 32",Annual Review of Public Health,,,,,,,,,,,"In recent decades, public health policy and practice have been increasingly challenged by globalization, even as global financing for health has increased dramatically. This article discusses globalization and its health challenges from a vantage of political science, emphasizing increased global flows (of pathogens, information, trade, finance, and people) as driving, and driven by, global market integration. This integration requires a shift in public health thinking from a singular focus on international health (the higher disease burden in poor countries) to a more nuanced analysis of global health (in which health risks in both poor and rich countries are seen as having inherently global causes and consequences). Several globalization-related pathways to health exist, two key ones of which are described: globalized diseases and economic vulnerabilities. The article concludes with a call for national governments, especially those of wealthier nations, to take greater account of global health and its social determinants in all their foreign policies.",,,,,,,,,,,,,,,,,,,,,,,2011,32,,,,,,263,283,,10.1146/annurev-publhealth-031210-101225,,,,,,,,WOS:000290776200015,,,,,
J,"Conlon, JM",,,,"Conlon, J. Michael",,,The contribution of skin antimicrobial peptides to the system of innate immunity in anurans,CELL AND TISSUE RESEARCH,,,,,,,,,,,,"Cationic peptides with the propensity to adopt an amphipathic alpha-helical conformation in a membrane-mimetic environment are synthesized in the skins of many species of anurans (frogs and toads). These peptides frequently display cytolytic activities against a range of pathogenic bacteria and fungi consistent with the idea that they play a role in the host's system of innate immunity. However, the importance of the peptides in the survival strategy of the animal is not clearly understood. It is a common misconception that antimicrobial peptides are synthesized in the skins of all anurans. In fact, the species distribution is sporadic suggesting that their production may confer some evolutionary advantage to the organism but is not necessary for survival. Although growth inhibitory activity against the chytrid fungus Batrachochytrium dendrobatidis, responsible for anuran population declines worldwide, has been demonstrated in vitro, the ability of frog skin antimicrobial peptides to protect the animal in the wild appears to be limited and there is no clear correlation between their production by a species and its resistance to fatal chytridiomycosis. The low potency of many frog skin antimicrobial peptides is consistent with the hypothesis that cutaneous symbiotic bacteria may provide the major system of defense against pathogenic microorganisms in the environment with antimicrobial peptides assuming a supplementary role in some species.",,,,,,,,,,,,,,,,,,,,,,JAN,2011,343,1,,,,,201,212,,10.1007/s00441-010-1014-4,,,,,,,,WOS:000285875600018,,,,,
J,"Leiby, DA",,,,"Leiby, David A.",,,Transfusion-Transmitted Babesia spp.: Bull's-Eye on Babesia microti,CLINICAL MICROBIOLOGY REVIEWS,,,,,,,,,,,,"Babesia spp. are intraerythrocytic protozoan parasites of animals and humans that cause babesiosis, a zoonotic disease transmitted primarily by tick vectors. Although a variety of species or types of Babesia have been described in the literature as causing infection in humans, the rodent parasite Babesia microti has emerged as the focal point of human disease, especially in the United States. Not only has B. microti become established as a public health concern, this agent is increasingly being transmitted by blood transfusion: estimates suggest that between 70 and 100 cases of transfusion-transmitted Babesia (TTB) have occurred over the last 30 years. A recent upsurge in TTB cases attributable to B. microti, coupled with at least 12 fatalities in transfusion recipients diagnosed with babesiosis, has elevated TTB to a key policy issue in transfusion medicine. Despite a clear need to mitigate transmission risk, few options are currently available to prevent the transmission of B. microti by blood transfusion. Future mitigation efforts may stress serological screening of blood donors in regionalized areas of endemicity, with adjunct nucleic acid testing during the summer months, when acute infections are prevalent. However, several hurdles remain, including the absence of a licensed blood screening assay and a thorough cost-benefit analysis of proposed interventions. Despite current obstacles, continued discussion of TTB without proactive intervention is no longer a viable alternative.",,,,,,,,,,,,,,,,,,,,,,JAN,2011,24,1,,,,,14,28,,10.1128/CMR.00022-10,,,,,,,,WOS:000286178300001,,,,,
J,"Feng, YY; Xiao, LH",,,,"Feng, Yaoyu; Xiao, Lihua",,,Zoonotic Potential and Molecular Epidemiology of Giardia Species and Giardiasis,CLINICAL MICROBIOLOGY REVIEWS,,,,,,,,,,,,"Molecular diagnostic tools have been used recently in assessing the taxonomy, zoonotic potential, and transmission of Giardia species and giardiasis in humans and animals. The results of these studies have firmly established giardiasis as a zoonotic disease, although host adaptation at the genotype and subtype levels has reduced the likelihood of zoonotic transmission. These studies have also identified variations in the distribution of Giardia duodenalis genotypes among geographic areas and between domestic and wild ruminants and differences in clinical manifestations and outbreak potentials of assemblages A and B. Nevertheless, our efforts in characterizing the molecular epidemiology of giardiasis and the roles of various animals in the transmission of human giardiasis are compromised by the lack of case-control and longitudinal cohort studies and the sampling and testing of humans and animals living in the same community, the frequent occurrence of infections with mixed genotypes and subtypes, and the apparent heterozygosity at some genetic loci for some G. duodenalis genotypes. With the increased usage of multilocus genotyping tools, the development of next-generation subtyping tools, the integration of molecular analysis in epidemiological studies, and an improved understanding of the population genetics of G. duodenalis in humans and animals, we should soon have a better appreciation of the molecular epidemiology of giardiasis, the disease burden of zoonotic transmission, the taxonomy status and virulences of various G. duodenalis genotypes, and the ecology of environmental contamination.",,,,,,,,,,,,,,,,,,,,,,JAN,2011,24,1,,,,,110,140,,10.1128/CMR.00033-10,,,,,,,,WOS:000286178300004,,,,,
J,"Collado, L; Figueras, MJ",,,,"Collado, Luis; Jose Figueras, Maria",,,"Taxonomy, Epidemiology, and Clinical Relevance of the Genus Arcobacter",CLINICAL MICROBIOLOGY REVIEWS,,,,,,,,,,,,"The genus Arcobacter, defined almost 20 years ago from members of the genus Campylobacter, has become increasingly important because its members are being considered emergent enteropathogens and/or potential zoonotic agents. Over recent years information that is relevant for microbiologists, especially those working in the medical and veterinary fields and in the food safety sector, has accumulated. Recently, the genus has been enlarged with several new species. The complete genomes of Arcobacter butzleri and Arcobacter nitrofigilis are available, with the former revealing diverse pathways characteristic of free-living microbes and virulence genes homologous to those of Campylobacter. The first multilocus sequence typing analysis showed a great diversity of sequence types, with no association with specific hosts or geographical regions. Advances in detection and identification techniques, mostly based on molecular methods, have been made. These microbes have been associated with water outbreaks and with indicators of fecal pollution, with food products and water as the suspected routes of transmission. This review updates this knowledge and provides the most recent data on the taxonomy, species diversity, methods of detection, and identification of these microbes as well as on their virulence potential and implication in human and animal diseases.",,,,,,,,,,,,,,,,,,,,,,JAN,2011,24,1,,,,,174,+,,10.1128/CMR.00034-10,,,,,,,,WOS:000286178300006,,,,,
J,"Aydingoz, IE; Mansur, AT",,,,"Aydingoz, Ikbal Esen; Mansur, Ayse Tulin",,,Canine Scabies in Humans: A Case Report and Review of the Literature,DERMATOLOGY,,,,,,,,,,,,"Background: Sarcoptes scabiei causes mange in many domestic and wild mammals, and it has been reported to be transmitted from animals to humans. Canine scabies is known to infest humans, as well. Case Report: We report a 27-year-old woman who presented with severe pruritic papules on the trunk and arms. The patient reported that she had just bought a puppy which was also itchy. Direct microscopy from the dog showed scabies mites. The patient was treated by 5% permethrin which accomplished full recovery. Discussion: Canine scabies in humans is a challenging disease to diagnose since mites are hard to find on skin scrapings of dogs and the burrows that are the hallmark of scabies are absent. Dermatological examination of the lesions in our patient did not show any burrows or a specific dermoscopic image of scabies. Instead, we observed curvilinear crusts on most of the papules. Conclusion: To our knowledge, dermoscopic appearance of canine scabies in humans has not been described before. We think this special pattern of excoriations is the result of superficially dug tunnels that had been torn leaving vacant curved linear remnants behind, and this may provide a good support for the diagnosis of canine scabies contributing to the spectrum of entodermoscopy. Copyright (C) 2011 S. Karger AG, Basel",,,,,,,,,,,,,,,,,,,,,,,2011,223,2,,,,,104,106,,10.1159/000327378,,,,,,,,WOS:000297547000002,,,,,
J,"Roest, HIJ; Tilburg, JJHC; Van der Hoek, W; Vellema, P; Van Zijderveld, FG; Klaassen, CHW; Raoult, D",,,,"Roest, H. I. J.; Tilburg, J. J. H. C.; Van der Hoek, W.; Vellema, P.; Van Zijderveld, F. G.; Klaassen, C. H. W.; Raoult, D.",,,"The Q fever epidemic in The Netherlands : history, onset, response and reflection",EPIDEMIOLOGY AND INFECTION,,,,,,,,,,,,The 2007-2009 human Q fever epidemic in The Netherlands attracted attention due to its magnitude and duration. The current epidemic and the historical background of Q fever in The Netherlands are reviewed according to national and international publications. Seroprevalence studies suggest that Q fever was endemic in The Netherlands several decades before the disease was diagnosed in dairy goats and dairy sheep. This was in 2005 and the increase in humans started in 2007. Q fever abortions were registered on 30 dairy goat and dairy sheep farms between 2005 and 2009. A total of 3523 human cases were notified between 2007 and 2009. Proximity to aborting small ruminants and high numbers of susceptible humans are probably the main causes of the human Q fever outbreak in The Netherlands. In general good monitoring and surveillance systems are necessary to assess the real magnitude of Q fever.,,,,,,,,,,,,,,,,,,,,,,JAN,2011,139,1,,,,,1,12,,10.1017/S0950268810002268,,,,,,,,WOS:000285467600001,,,,,
J,"Klingstrom, J; Ahlm, C",,,,"Klingstrom, Jonas; Ahlm, Clas",,,Hantavirus protein interactions regulate cellular functions and signaling responses,EXPERT REVIEW OF ANTI-INFECTIVE THERAPY,,,,,,,,,,,,"Rodent-borne pathogenic hantaviruses cause two severe and often lethal zoonotic diseases: hemorrhagic fever with renal syndrome (HFRS) in Eurasia and hantavirus cardiopulmonary syndrome (HCPS) in the Americas. Currently, no US FDA-approved therapeutics or vaccines are available for HFRS/HCPS. Infections with hantaviruses are not lytic, and it is currently not known exactly why infections in humans cause disease. A better understanding of how hantaviruses interfere with normal cell functions and activation of innate and adaptive immune responses might provide clues to future development of specific treatment and/or vaccines against hantavirus infection. In this article, the current knowledge regarding immune responses observed in patients, hantavirus interference with cellular proteins and signaling pathways, and possible approaches in the development of therapeutics are discussed.",,,,,,,,,,,,,,,,,,,,,,JAN,2011,9,1,,,,,33,47,,10.1586/ERI.10.157,,,,,,,,WOS:000288974400011,,,,,
J,"Toyokawa, T; Ohnishi, M; Koizumi, N",,,,"Toyokawa, Takao; Ohnishi, Makoto; Koizumi, Nobuo",,,Diagnosis of acute leptospirosis,EXPERT REVIEW OF ANTI-INFECTIVE THERAPY,,,,,,,,,,,,"Leptospirosis is a globally important zoonotic disease and an important public health problem in developing countries. Early diagnosis is essential because antibiotic treatment is most effective when initiated early in the course of the disease. Culture and the microscopic agglutination test are gold standard methods for leptospirosis diagnosis; however, they are not useful for early diagnosis. Current whole cell-based rapid serological tests have low sensitivity for early phase leptospirosis and may have low specificity in highly endemic areas. PCR is demonstrably useful for early diagnosis, but it is unavailable in most developing countries. Thus, diagnostic methods that not only have higher sensitivity and accuracy for early phase leptospirosis but are also widely applicable in developing countries remain to be developed. The availability of genome sequences and genetic tools of Leptospira spp. will accelerate our understanding of Leptospira pathogenesis and provide insights into the development of more efficient and accurate diagnostic tests for acute-phase leptospirosis.",,,,,,,,,,,,,,,,,,,,,,JAN,2011,9,1,,,,,111,121,,10.1586/ERI.10.151,,,,,,,,WOS:000288974400017,,,,,
J,"Kowalczewska, M; Sekeyova, Z; Raoult, D",,,,"Kowalczewska, Malgorzata; Sekeyova, Zuzana; Raoult, Didier",,,Proteomics paves the way for Q fever diagnostics,GENOME MEDICINE,,,,,,,,,,,,"Q fever is a worldwide zoonosis caused by Coxiella burnetii. The disease most frequently manifests clinically as a self-limited febrile illness, as pneumonia (acute Q fever) or as a chronic illness that presents mainly as infective endocarditis. The extreme infectivity of the bacterium results in large outbreaks, and the recent outbreak in the Netherlands underlines its impact on public health. Recent studies on the bacterium have included genome sequencing, the investigation of host-bacterium interactions, the development of cellular and animal models of infection, and the comprehensive analysis of different clinical isolates by whole genome and proteomic approaches. Current approaches for diagnosing Q fever are based on serological methods and PCR techniques, but the diagnosis of early stage disease lacks specificity and sensitivity. Consequently, different platforms have been created to explore Q fever biomarkers. Several studies using a combination of proteomics and recombinant protein screening approaches have been undertaken for the development of diagnostics and vaccines. In this review, we highlight advances in the field of C. burnetii proteomics, focusing mainly on the contribution of these technologies to the development and improvement of Q fever diagnostics.",,,,,,,,,,,,,,,,,,,,,,,2011,3,,,,,,,,50,10.1186/gm266,,,,,,,,WOS:000208627400050,,,,,
J,"Campos-Krauer, JM; Wisely, SM",,,,"Campos-Krauer, Juan M.; Wisely, Samantha M.",,,Deforestation and cattle ranching drive rapid range expansion of capybara in the Gran Chaco ecosystem,GLOBAL CHANGE BIOLOGY,,,,,,,,,,,,"Anthropogenic habitat alteration has the capacity to alter the distribution of species. Capybara (Hydrochoerus hydrochaeris) are a widely distributed rodent throughout most of South America, but are restricted to areas of standing water. As the Gran Chaco ecosystem of Paraguay is converted from dry tropical forest to pastureland, we hypothesize that this alteration creates potential for invasion by capybara into newly fragmented areas. We surveyed throughout the Chaco to estimate the distribution of capybara, and we collected noninvasive genetic samples. We used ecological niche modeling based on six environmental or climatic variables, and we modeled both the current distribution of capybara and the distribution of capybara 80 years ago. We then verified the hypothesized demographic signal generated with our model using phylogeographic analyses of 386 bp of the mtDNA control region. Comparison of present and past models suggested that populations expanded into the Gran Chaco after forest was converted to pastureland. Analyses of the mitochondrial D-loop supported the rapid range expansion scenario. We also found evidence of secondary contact of two distinct phylogroups which had previously been disjunct. Anthropogenic land transformation appeared to be a major factor influencing the distribution, as predicted by the niche model and confirmed by genetic data. Habitat modification altered connectivity of populations across the landscape. In addition, long separated clades of capybara are now admixed throughout the Paraguayan Chaco. The invasion of a large bodied herbivore into the High Chaco region may exacerbate the degradation of forest and prevent forest regeneration. As the reservoir host of several zoonotic diseases, the expansion and contact of two previously disjunct capybara populations has implications for disease emergence.",,,,,,,,,,,,,,,,,,,,,,JAN,2011,17,1,,,,,206,218,,10.1111/j.1365-2486.2010.02193.x,,,,,,,,WOS:000284851500018,,,,,
J,"Kaiser, PO; Riess, T; O'Rourke, F; Linke, D; Kempf, VAJ",,,,"Kaiser, Patrick O.; Riess, Tanja; O'Rourke, Fiona; Linke, Dirk; Kempf, Volkhard A. J.",,,Bartonella spp.: Throwing light on uncommon human infections,INTERNATIONAL JOURNAL OF MEDICAL MICROBIOLOGY,,,,,,,,,,,,"After 2 decades of Bartonella research, knowledge on transmission and pathology of these bacteria is still limited. Bartonella spp. have emerged to be important pathogens in human and veterinary medicine. For humans, B. henselae is considered to represent the most relevant zoonotic Bartonella species and is responsible for cat scratch disease, bacillary angiomatosis, and other disorders. Over the years, many Bartonella species have been isolated from humans, cats, dogs, and other mammals, and infections range from an asymptomatic state (e.g., animal-specific species) to even life-threatening diseases (e.g., Oroya fever). It is obvious that the analysis of pathogenicity mechanisms underlying Bartonella infections is needed to increase our understanding of how these pathogens adapt to their mammalian hosts resulting in acute or chronic diseases. (C) 2010 Published by Elsevier GmbH.",,,,,,,,,,,,,,,,,,,,,,JAN,2011,301,1,,,,,7,15,,10.1016/j.ijmm.2010.06.004,,,,,,,,WOS:000289826200002,,,,,
J,"Ulbert, S",,,,"Ulbert, Sebastian",,,West Nile Virus: The Complex Biology of an Emerging Pathogen,INTERVIROLOGY,,,,,,,,,,,,"West Nile virus (WNV) is a zoonotic virus that circulates in birds and is transmitted by mosquitoes. Incidentally, humans, horses and other mammals can also be infected. Disease symptoms caused by WNV range from fever to neurological complications, such as encephalitis or meningitis. Mortality is observed mostly in older and immunocompromised individuals. In recent years, epidemics caused by WNV in humans and horses have become more frequent in several Southern European countries, such as Italy and Greece. In 1999, WNV was introduced into the USA and spread over North America within a couple of years. The increasing number of WNV outbreaks is associated with the emergence of novel viral strains, which display higher virulence and greater epidemic potential for humans. Upon infection with WNV, the mammalian immune system counteracts the virus at several different levels. On the other side, WNV has developed elaborated escape mechanisms to avoid its elimination. This review summarizes recent findings in WNV research that help to understand the complex biology associated with this emerging pathogen. Copyright (C) 2011 S. Karger AG, Basel",,,,,,,,,,,,,,,,,,,,,,,2011,54,4,,,,,171,184,,10.1159/000328320,,,,,,,,WOS:000291752400001,,,,,
J,"Tompkins, DM; Dunn, AM; Smith, MJ; Telfer, S",,,,"Tompkins, Daniel M.; Dunn, Alison M.; Smith, Matthew J.; Telfer, Sandra",,,Wildlife diseases: from individuals to ecosystems,JOURNAL OF ANIMAL ECOLOGY,,,,,,,,,,,,"P>1. We review our ecological understanding of wildlife infectious diseases from the individual host to the ecosystem scale, highlighting where conceptual thinking lacks verification, discussing difficulties and challenges, and offering potential future research directions. 2. New molecular approaches hold potential to increase our understanding of parasite interactions within hosts. Also, advances in our knowledge of immune systems makes immunological parameters viable measures of parasite exposure, and useful tools for improving our understanding of causal mechanisms. 3. Studies of transmission dynamics have revealed the importance of heterogeneity in host behaviour and physiology, and of contact processes operating at different spatial and temporal scales. An important future challenge is to determine the key transmission mechanisms maintaining the persistence of different types of diseases in the wild. 4. Regulation of host populations is too complex to consider parasite effects in isolation from other factors. One solution is to seek a unified understanding of the conditions under which (and the ecological rules determining when) population scale impacts of parasites can occur. 5. Good evidence now shows that both direct effects of parasites, and trait mediated indirect effects, frequently mediate the success of invasive species and their impacts on recipient communities. A wider exploration of these effects is now needed. 6. At the ecosystem scale, research is needed to characterize the circumstances and conditions under which both fluxes in parasite biomass, and trait mediated effects, are significant in ecosystem processes, and to demonstrate that parasites do indeed increase 'ecosystem health'. 7. There is a general need for more empirical testing of predictions and subsequent development of theory in the classic research cycle. Experimental field studies, meta-analyses, the collection and analysis of long-term data sets, and data constrained modelling, will all be key to advancing our understanding. 8. Finally, we are only now beginning to understand the importance of cross-scale interactions associated with parasitism. Such interactions may offer key insights into bigger picture questions such as when and how different regulatory factors are important, when disease can cause species extinctions, and what characteristics are indicative of functionally resilient ecosystems.",,,,,,,,,,,,,,,,,,,,,,JAN,2011,80,1,,,,,19,38,,10.1111/j.1365-2656.2010.01742.x,,,,,,,,WOS:000285110600003,,,,,
J,"Silva, TMA; Costa, EA; Paixao, T; Tsolis, RM; Santos, RL",,,,"Silva, Teane M. A.; Costa, Erica A.; Paixao, TatianeA.; Tsolis, Renee M.; Santos, Renato L.",,,Laboratory Animal Models for Brucellosis Research,JOURNAL OF BIOMEDICINE AND BIOTECHNOLOGY,,,,,,,,,,,,"Brucellosis is a chronic infectious disease caused by Brucella spp., a Gram-negative facultative intracellular pathogen that affects humans and animals, leading to significant impact on public health and animal industry. Human brucellosis is considered the most prevalent bacterial zoonosis in the world and is characterized by fever, weight loss, depression, hepato/splenomegaly, osteoarticular, and genital infections. Relevant aspects of Brucella pathogenesis have been intensively investigated in culture cells and animal models. The mouse is the animal model more commonly used to study chronic infection caused by Brucella. This model is most frequently used to investigate specific pathogenic factors of Brucella spp., to characterize the host immune response, and to evaluate therapeutics and vaccines. Other animal species have been used as models for brucellosis including rats, guinea pigs, and monkeys. This paper discusses the murine and other laboratory animal models for human and animal brucellosis.",,,,,,,,,,,,,,,,,,,,,,,2011,,,,,,,,,518323,10.1155/2011/518323,,,,,,,,WOS:000289095100001,,,,,
J,"Ahmed, W; Gardner, T; Toze, S",,,,"Ahmed, W.; Gardner, T.; Toze, S.",,,Microbiological Quality of Roof-Harvested Rainwater and Health Risks: A Review,JOURNAL OF ENVIRONMENTAL QUALITY,,,,,,,,,,,,"Roof-harvested rainwater (RHRW) has been considered an effective alternative water source for drinking and various nonpotable uses in a number of countries throughout the world. The most significant issue in relation to using untreated RHRW for drinking or other potable uses, however, is the potential public health risks associated with microbial pathogens. This paper reviews the available research reporting on the microbial quality of RHRW and provides insight on the capacity of fecal indicator bacteria to monitor health risks and disease outbreaks associated with the consumption of untreated RHRW. Several zoonotic bacterial and protozoan pathogens were detected in individual and communal rainwater systems. The majority of the studies reported in the literature assessed the quality of rainwater on the basis of the presence or absence of specific pathogens, with little information available regarding the actual numbers of such pathogens. In addition, no information is available concerning the ongoing prevalence of different pathogens in RHRW over time. The published data suggest that the microbial quality of RHRW should be considered less than that expected for potable water and that the commonly used indicators may not be suitable to indicate the presence of pathogens in RHRW. Several case control studies established potential links between gastroenteritis and consumption of untreated RHRW. Therefore, health risks assessment models, such as those using Quantitative Microbial Risk Assessment, should be used to manage and mitigate health risks associated with drinking and nonpotable uses of RHRW.",,,,,,,,,,,,,,,,,,,,,,JAN-FEB,2011,40,1,,,,,13,21,,10.2134/jeq2010.0345,,,,,,,,WOS:000285715300002,,,,,
J,"Aggarwal, R",,,,"Aggarwal, Rakesh",,,"Hepatitis E: Historical, contemporary and future perspectives",JOURNAL OF GASTROENTEROLOGY AND HEPATOLOGY,,,,,,,,,,,,"Hepatitis E was suspected for the first time in 1980 during a waterborne epidemic of acute hepatitis in Kashmir, India. In the 30 years since then, a small virus with single-stranded RNA genome has been identified as the cause of this disease and named as hepatitis E virus (HEV). The virus has four genotypes; of these, genotypes 1 and 2 are known to infect only humans, whereas genotypes 3 and 4 primarily infect other mammals, particularly pigs, but occasionally cause human disease. In highly-endemic areas, the disease occurs in epidemic and sporadic forms, caused mainly by infection with genotype 1 or 2 virus, acquired through the fecal-oral route, usually through contaminated water supplies. The disease is characterized by particularly severe course and high mortality among pregnant women. In persons with pre-existing chronic liver disease, HEV superinfection can present as acute-on-chronic liver disease. In low-endemic regions, sporadic cases of locally-acquired HEV infection are reported; these are caused mainly by genotype 3 or 4 HEV acquired possibly through zoonotic transmission from pigs, wild boars or deer. In these areas, chronic infection with genotype 3 HEV, which may progress to liver cirrhosis, has been reported among immunosuppressed persons. Two subunit vaccines containing recombinant truncated capsid proteins of HEV have been shown to be highly effective in preventing the disease; however, these are not yet commercially available. These vaccines should be of particular use in groups that are at high risk of HEV infection and/or of poor outcome.",,,,,,,,,,,,,,,,,,,,,,JAN,2011,26,,,1,,,72,82,,10.1111/j.1440-1746.2010.06540.x,,,,,,,,WOS:000285880400010,,,,,
J,"Lucheis, SB; Ferreira, RS",,,,"Lucheis, S. B.; Ferreira Jr, R. S.",,,Ovine leptospirosis in Brazil,JOURNAL OF VENOMOUS ANIMALS AND TOXINS INCLUDING TROPICAL DISEASES,,,,,,,,,,,,"Leptospirosis is a zoonosis distributed worldwide, endemic mainly in humid subtropical and tropical countries, with epidemic potential. It affects a range of both wild and domestic animals, including sheep, which transport leptospires in their urine and, therefore, can infect other animals and humans who deal with them. Therefore, leptospirosis is characterized as an occupational zoonosis. In individual herds leptospirosis can cause severe economic loss due to miscarriages and outbreaks of mastitis with a significant reduction of milk production. The disease is caused by Leptospira interrogans, which was reclassified into 13 pathogenic species, and distributed into more than 260 serovars classified into 23 serogroups. The clinical signs of infection may vary depending on the serovar and host. In maintenance hosts, antibody production is generally low; there are relatively mild signs of the disease, and a prolonged carrier state with organisms in the kidneys. In incidental hosts, the disease may be more severe, with high titers of circulating antibodies and a very short or nonexistent renal carrier state. In general, young animals with renal and hepatic failure have more serious infections than adults. Several diseases may produce symptoms similar to those of leptospirosis, so that laboratory confirmation, through microscopic agglutination test, for example, is required. The effectiveness of treatment depends on early diagnosis and appropriate therapy, depending on clinical features, since leptospirosis can develop into chronic liver disease and nephropathy, progressing towards death. Improvements in habitation and sanitary conditions, rodent control, vaccination, isolation and treatment of affected animals are the main measures for the control of leptospirosis.",,,,,,,,,,,,,,,,,,,,,,,2011,17,4,,,,,394,405,,10.1590/S1678-91992011000400006,,,,,,,,WOS:000297853400006,,,,,
