STUDY_ID,REVIEWERS,SCREEN1,SCREEN2,authors,title,year,journal,search,abstract
3437,Joy,NO,NA,"Nassar-Montoya, F",?are the colombian zootechnics and veterinary sciences prepare for the future?: a vision from colombia,2012,REVISTA MVZ CORDOBA,Web of Science,"A review of the Veterinary Medicine and Zootechnics is done aiming to understand their significance and performance in the current and future society, with main focus in the Colombian reality. The review shows the competences and responsibilities that these sciences have in diverse sectors such as the environmental, social and health, area, and not just in agriculture. The environmental crisis and the dynamics of the modern world have created new needs that represent a great opportunity for the Veterinary sciences and Zootechnics, if they can respond to new challenges and make use of their natural role in the sectors that now are of their competence. Their institutionally and hegemony will depend on their adaptation, flexibility and leadership capacity. Therefore, this is pertinent for the Zootechnics and Veterinary sciences to perform a collective disciplinary prospection to understand new challenges and prepare for the future."
3438,Cecilia,NO,NA,"Sykes, JE; Hartmann, K; Lunn, KF; Moore, GE; Stoddard, RA; Goldstein, RE",2010 acvim small animal consensus statement on leptospirosis: diagnosis epidemiology treatment and prevention,2011,JOURNAL OF VETERINARY INTERNAL MEDICINE,Web of Science,"This report offers a consensus opinion on the diagnosis, epidemiology, treatment, and prevention of leptospirosis in dogs, an important zoonosis. Clinical signs of leptospirosis in dogs relate to development of renal disease, hepatic disease, uveitis, and pulmonary hemorrhage. Disease may follow periods of high rainfall, and can occur in dogs roaming in proximity to water sources, farm animals, or wildlife, or dogs residing in suburban environments. Diagnosis is based on acute and convalescent phase antibody titers by the microscopic agglutination test (MAT), with or without use of polymerase chain reaction assays. There is considerable interlaboratory variation in MAT results, and the MAT does not accurately predict the infecting serogroup. The recommended treatment for optimal clearance of the organism from renal tubules is doxycycline, 5 mg/kg PO q12h, for 14 days. Annual vaccination can prevent leptospirosis caused by serovars included in the vaccine and is recommended for dogs at risk of infection."
3439,Joy,NO,NA,"Perez-Molina, JA; Lopez-Polin, A; Trevino, B; Molina, I; Goikoetxea, J; Diaz-Menendez, M; Torrus, D; Calabuig, E; Benito, A; Lopez-Velez, R",6-year review of plus redivi: a prospective registry of imported infectious diseases in spain,2017,JOURNAL OF TRAVEL MEDICINE,Web of Science,"Background: Understanding and detecting imported diseases is a priority in the prevention and management of prevalent and emergent infectious diseases acquired abroad. The +Redivi network measures the burden of imported infections in Spain and is essential for closing the gap in travel medicine. Methods: Demographic characteristics, travel information, syndromes and confirmed travel-related diagnoses were registered in a standardised online database. Results: A total of 10 767 cases of imported infectious diseases were registered between October 2009 and December 2015. Of these, 60.8% of cases were immigrants seen for the first time after arrival, 20.6% were travellers, and 18.4% were individuals visiting friends and relatives (VFR [immigrants and travellers]). The median time between arrival and medical consultation was 5.5 years for immigrants, 2.0 weeks for travellers, 3.1 weeks for VFR-travellers and 11.4 for VFR-immigrants. The most prevalent diagnoses were Chagas disease in immigrants and nonspecific acute diarrhoea in travellers. Malaria by P. falciparum was one of the most prevalent diagnoses among VFR. More than half the travellers saw a physician before travelling, although one-third of those for whom antimalarial medication was indicated did not take their medication correctly. As for VFR, only 10.4% of VFR-immigrants and 32.5% of VFR-travellers sought pre-travel advice. Only 23 and 21%, respectively, of those for whom antimalarial prophylaxis was indicated took the medication properly. Conclusions: +Redivi provides a clear picture of the prevalence of imported infectious diseases among travellers and immigrants in Spain. The data collected could be used to improve everyday health care provided to travellers and immigrants after travel, to guide pre-travel consultations and to monitor the potential occurrence of tropical or exotic infectious diseases."
3440,Joy,NO,NA,"Wijaszka, T; Truszczynski, M",60 years of the national veterinary research institute in pulawy poland,2005,MEDYCYNA WETERYNARYJNA,Web of Science,"The article presents the legislative basis for the establishment of the Institute on June 6, 1945, as well as its organization and terms of reference. It discusses the achievements of the Institute in general terms up until 1995, and in more detail concerning the last 10 years. The results of the Institute's work have had immense practical value for the monitoring and control of infectious diseases of animals in Poland, including zoonotic agents. One of the broadest spheres of its activity has been research into the safety problems of food of animal origin from the point of view of hygiene, microbiology and toxicity as well as implementing this knowledge for practical use, including regional diagnostic laboratories. Close cooperation has taken place with the World Organization for Animal Health (OIE), Food and Agricultural Organization (FAO) and, in particular, with the European Union (EU). The Institute has adapted relevant regulations concerning accreditation of diagnostic procedures and tests as well as organizing reference laboratories cooperating with the correspondent laboratories of the EU and OIE. Reconstruction and extension by 1.5 times of its buildings began in 2004. New equipment was purchased comparable to the level of prominent veterinary laboratories of Western European countries. The scientific staff has undergone programs of continuous education in leading veterinary and biomedical laboratories of the world. The Institute currently offers expertise services to the staff of the Chief Veterinary Officer and to regional veterinary laboratories."
3441,Cecilia,YES,NO,"Kahn, RE; Morozov, I; Feldmann, H; Richt, JA",6th international conference on emerging zoonoses,2012,ZOONOSES AND PUBLIC HEALTH,Web of Science,"The 6th International Conference on Emerging Zoonoses, held at Cancun, Mexico, 2427 February 2011, offered 84 participants from 18 countries, a snapshot of current research in numerous zoonoses caused by viruses, bacteria or prions. Co-chaired by Professors Heinz Feldmann and Jurgen Richt, the conference explored 10 topics: (i) The ecology of emerging zoonotic diseases; (ii) The role of wildlife in emerging zoonoses; (iii) Cross-species transmission of zoonotic pathogens; (iv) Emerging and neglected influenza viruses; (v) Haemorrhagic fever viruses; (vi) Emerging bacterial diseases; (vii) Outbreak responses to zoonotic diseases; (viii) Food-borne zoonotic diseases; (ix) Prion diseases; and (x) Modelling and prediction of emergence of zoonoses. Human medicine, veterinary medicine and environmental challenges are viewed as a unity, which must be considered under the umbrella of One Health. Several presentations attempted to integrate the insights gained from field data with mathematical models in the search for effective control measures of specific zoonoses. The overriding objective of the research presentations was to create, improve and use the tools essential to address the risk of contagions in a globalized society. In seeking to fulfil this objective, a three-step approach has often been applied: (i) use cultured cells, model and natural animal hosts and human clinical models to study infection; (ii) combine traditional histopathological and biochemical approaches with functional genomics, proteomics and computational biology; and (iii) obtain signatures of virulence and insights into mechanisms of host defense response, immune evasion and pathogenesis. This meeting review summarizes 39 of the conference presentations and mentions briefly the 16 articles in this Special Supplement, most of which were presented at the conference in earlier versions. The full affiliations of all presenters and many colleagues have been included to facilitate further inquiries from readers."
3442,Cecilia,NO,NA,"Dhama, K; Malik, YS; Malik, SVS; Singh, RK",7 ebola from emergence to epidemic: the virus and the disease global preparedness and perspectives,2015,JOURNAL OF INFECTION IN DEVELOPING COUNTRIES,Web of Science,"Humans constantly encounter threats from many infectious, zoonotic, and devastating pathogens. Outbreaks of severe acute respiratory syndrome (SARS), bird flu, and swine flu posing pandemic threats have compelled health agencies to follow global preparedness for combating the emerging deadly pathogens. The outbreak in West Africa of highly contagious Ebola viral disease (EVD) that started in Guinea in December 2013, assumed global proportions to become the largest outbreak of EVD and the most prominent international health concern. With fatality rates of nearly 50%-90%, it has claimed, as of 11 April 2015, 10,619 human lives out of a total of 25,626 cases reported worldwide. Ebola virus (EBOV), a member of Filoviridae family, is associated with severe, often lethal, hemorrhagic fever disease in humans and animals. The animal hosts, including non-human primates and reservoir hosts (fruit bats), play a significant role in transmission and maintenance of EBOV in nature. Although no approved vaccine for the prevention of EVD currently exists, disease control can be greatly enhanced by timely laboratory confirmation through blood tests using enzyme-linked immunosorbent assay (ELISA) and reverse transcription polymerase chain reaction (RT-PCR). Adherence to strict sanitary and hygienic measures, monitoring and surveillance of EBOV, as well as quarantine checks on international trade, transport, and visitors from affected countries are mandatory to prevent and control the spread of EVD. This review describes the salient properties of EBOV and the development of novel diagnostics, vaccines, and control strategies for this emerging disease of high public health concern and international emergency."
3443,Cecilia,NO,NA,"West, A",a brief review of chlamydophila psittaci in birds and humans,2011,JOURNAL OF EXOTIC PET MEDICINE,Web of Science,"The following article is a brief review of Chlamydophila psittaci infection in birds (avian chlamydiosis) and humans (psittacosis). Chlamydophila psittaci is an intracellular, Gram-negative, coccoid bacterium that is a reportable zoonotic disease in many countries. Symptoms in humans diagnosed with psittacosis include fever, chills, headache, malaise, and myalgia. Clinical signs in infected birds are often vague but include lethargy, diarrhea, and emaciation. Chlamydophila psittaci is shed in the feces and nasal/ocular discharge. The treatment of choice for humans and birds infected with C. psittaci is doxycycline. People who have the highest risk for exposure and subsequent infection include employees of pet shops and poultry farms, veterinarians, veterinary technicians, and pet owners. Prevention and control methods include quarantine of new birds for 30 days, routine testing of new bird purchases, proper hygiene (e.g., hand washing), and good husbandry practices. Copyright 2011 Elsevier Inc. All rights reserved."
3444,Cecilia,NO,NA,"Cerqueira, GM; Picardeau, M",a century of leptospira strain typing,2009,INFECTION GENETICS AND EVOLUTION,Web of Science,"Leptospirosis is a zoonotic disease with high mortality and morbidity rates in humans and animals throughout the world. Since the discovery of Leptospira, the causal agent of leptospirosis, a century ago, this spirochete has been isolated from the environment and a wide spectrum of animals and classified into serogroups and serovars as a function of antigenic determinants. Modern technology has greatly improved laboratory procedures, particularly those for the detection, identification and typing of epidemiologic strains. In this review, we describe ""classical"" serotyping methods, followed by a description of genotyping and post-genomic typing methods. (C) 2009 Elsevier B.V. All rights reserved."
3445,Cecilia,NO,NA,"Pintar, KDM; Thomas, KM; Christidis, T; Otten, A; Nesbitt, A; Marshall, B; Pollari, F; Hurst, M; Ravel, A",a comparative exposure assessment of campylobacter in ontario canada,2017,RISK ANALYSIS,Web of Science,"To inform source attribution efforts, a comparative exposure assessment was developed to estimate the relative exposure to Campylobacter, the leading bacterial gastrointestinal disease in Canada, for 13 different transmission routes within Ontario, Canada, during the summer. Exposure was quantified with stochastic models at the population level, which incorporated measures of frequency, quantity ingested, prevalence, and concentration, using data from FoodNet Canada surveillance, the peer-reviewed and gray literature, other Ontario data, and data that were specifically collected for this study. Models were run with @Risk software using Monte Carlo simulations. The mean number of cells of Campylobacter ingested per Ontarian per day during the summer, ranked from highest to lowest is as follows: household pets, chicken, living on a farm, raw milk, visiting a farm, recreational water, beef, drinking water, pork, vegetables, seafood, petting zoos, and fruits. The study results identify knowledge gaps for some transmission routes, and indicate that some transmission routes for Campylobacter are underestimated in the current literature, such as household pets and raw milk. Many data gaps were identified for future data collection consideration, especially for the concentration of Campylobacter in all transmission routes."
3446,Joy,NO,NA,"Wong, PMC; Chung, SW",a functional connection between rangtpnf-kappa b and septic shock,2003,JOURNAL OF BIOMEDICAL SCIENCE,Web of Science,"RanGTPase is importantly involved in diverse biological functions, such as nuclear transport, spindle formation during mitosis, DNA replication and cell division. This review summarizes yet another new role of Ran - control of the activity of NF-kappaB in host immune responses. Overexpression of a specific allele of Ran results in preferential accumulation of nuclear RanGTP, downmodulation of proinflammatroy cytokine production and protection against septic shock. Nuclear RanGTP interacts with Exportin1, which in turn binds to IkappaB. Nuclear IkappaB binds to NF-kappaB in the nucleus, inhibiting NF-kappaB transcriptional activation of proinflammatory cytokine genes. Nuclear IkB also functions as an adaptor between NF-kappaB and Exportin1/RanGTP, enhancing export of NF-kappaB to the cytoplasm and further reducing the magnitude of host immune responses. From this picture, it appears that modulation of host immune responses via RanGTPase will have an immense impact on a wide spectrum of emerging infectious diseases, cancer and other genetic diseases."
3447,Cecilia,NO,NA,"Johns, MC; Burke, RL; Vest, KG; Fukuda, M; Pavlin, JA; Shrestha, SK; Schnabel, DC; Tobias, S; Tjaden, JA; Montgomery, JM; Faix, DJ; Duffy, MR; Cooper, MJ; Sanchez, JL; Blazes, DL",a growing global network's role in outbreak response: afhsc-geis 2008-2009,2011,BMC PUBLIC HEALTH,Web of Science,"A cornerstone of effective disease surveillance programs comprises the early identification of infectious threats and the subsequent rapid response to prevent further spread. Effectively identifying, tracking and responding to these threats is often difficult and requires international cooperation due to the rapidity with which diseases cross national borders and spread throughout the global community as a result of travel and migration by humans and animals. From Oct. 1, 2008 to Sept. 30, 2009, the United States Department of Defense's (DoD) Armed Forces Health Surveillance Center Global Emerging Infections Surveillance and Response System (AFHSC-GEIS) identified 76 outbreaks in 53 countries. Emerging infectious disease outbreaks were identified by the global network and included a wide spectrum of support activities in collaboration with host country partners, several of which were in direct support of the World Health Organization's (WHO) International Health Regulations (IHR) (2005). The network also supported military forces around the world affected by the novel influenza A/H1N1 pandemic of 2009. With IHR (2005) as the guiding framework for action, the AFHSC-GEIS network of international partners and overseas research laboratories continues to develop into a far-reaching system for identifying, analyzing and responding to emerging disease threats."
3448,Joy,NO,NA,"Preece, ND; Abell, SE; Grogan, L; Wayne, A; Skerratt, LF; Van Oosterzee, P; Shima, AL; Peter, D; Field, H; Reiss, A; Berger, L; Rymer, TL; Fisher, DO; Lawes, MJ; Laurance, SG; McCallum, H; Esson, C; Epstein, JH",a guide for ecologists: detecting the role of disease in faunal declines and managing population recovery,2017,BIOLOGICAL CONSERVATION,Web of Science,"Biodiversity is declining at an alarming rate, especially among vertebrates. Disease is commonly ignored or dismissed in investigations of wildlife declines, partly because there is often little or no obvious clinical evidence of illness. We argue that disease has the potential to cause many species declines and extinctions and that there is mounting evidence that this is a more important cause of declines than has been appreciated. We summarise case studies of diseases that have affected wildlife to the point of extinction and bring together the experiences of wildlife managers, veterinarians, epidemiologists, infectious disease specialists, zoologists and ecologists to provide an investigation framework to help ecologists and wildlife managers address disease as a factor in wildlife declines. Catastrophic declines of wildlife may be the result of single or multiple synergistic causes, and disease should always be one factor under consideration, unless proven otherwise. In a rapidly changing world where emerging infectious diseases have become increasingly common, the need to consider diseases has never been more important."
3449,Joy,NO,NA,"Li, DX",a highly pathogenic new bunyavirus emerged in china,2013,EMERGING MICROBES & INFECTIONS,Web of Science,"Severe fever with thrombocytopenia syndrome (SFTS) is an emerging infectious disease that was discovered in China in 2010. The causative agent has been identified as a new member of the Phlebovirus genus in the family Bunyaviridae and has been designated severe fever with thrombocytopenia virus (SFTSV). SFTSV infection can be transmitted person-to-person, and the average case fatality rate is approximately 10% in humans. There is a high seroprevalence of SFTSV infection in a wide range of domesticated animals, including sheep, goats, cattle, pigs, dogs and chickens. Ticks are suspected to be the vector that transmits the virus to humans. Currently, the SFTS endemic area is expanding. Therefore, SFTSV infection is an increasingly important public health threat."
3450,Cecilia,NO,NA,"Hoberg, EP; Brooks, DR",a macroevolutionary mosaic: episodic host-switching geographical colonization and diversification in complex host-parasite systems,2008,JOURNAL OF BIOGEOGRAPHY,Web of Science,"Aim To integrate ecological fitting, the oscillation hypothesis and the taxon pulse hypothesis into a coherent null model for the evolution of complex host-parasite associations. Location Global. Methods This paper reviews and synthesizes literature that focuses on phylogenetic analyses and reciprocal mapping of a model system of hosts and their parasites to determine patterns of host-parasite associations and geographical distributions through time. Results Host-switching and geographical dispersal of parasites are common phenomena, occurring on many temporal and spatial scales. Diversification involving both co-evolution and colonization explains complex host-parasite associations. Across the expanse of Earth history, the major radiations in host-parasite assemblages have been preceded by ecological disruption, ecological breakdown and host-switching in a context that can be defined by the concept of ecological fitting. This cyclical process sets the stage for co-diversification during periods of relative stability, punctuated by host-switching during episodes of regional to global environmental disruption and climatological change. Main conclusions Most observed host-parasite associations can be explained by an historical interaction between ecological fitting, oscillation (episodes of increasing host range alternating with isolation on particular hosts) and taxon pulses (cyclical episodes of expansion and isolation in geographical range). Major episodes of environmental change appear to be the main drivers for both the persistence and diversification of host-parasite systems, creating opportunities for host-switching during periods of geographical expansion and allowing for co-evolution and co-speciation during periods of geographical isolation."
3451,Cecilia,NO,NA,"Moller, AP; Arriero, E; Lobato, E; Merino, S",a meta-analysis of parasite virulence in nestling birds,2009,BIOLOGICAL REVIEWS,Web of Science,"Parasitism is a common cause of host mortality, but little is known about the ecological factors affecting parasite virulence (the rate of mortality among infected hosts). We reviewed 117 field estimates of parasite-induced nestling mortality in birds, showing that there was significant consistency in mortality among host and parasite taxa. Virulence increased towards the tropics in analyses of both species-specific data and phylogenetic analyses. We found evidence of greater parasite prevalence being associated with reduced virulence. Furthermore, bird species breeding in open nest sites suffered from greater parasite-induced mortality than hole-nesting species. By contrast, parasite specialization and generation time of parasites relative to that of hosts explained little variation in virulence. Likewise, there were little or no significant effects of host genetic variability, host sociality, host migration, host insular distribution or host survival on parasite virulence. These findings suggest that parasite-induced nestling mortality in birds is mainly determined by geographical location and to a smaller extent nest site and prevalence."
3452,Cecilia,NO,NA,"Yadav, PD; Chaubal, GY; Shete, AM; Mourya, DT",a mini-review of bunyaviruses recorded in india,2017,INDIAN JOURNAL OF MEDICAL RESEARCH,Web of Science,"Newly emerging and re-emerging viral infections are of major public health concern. Bunyaviridae family of viruses comprises a large group of animal viruses. Clinical symptoms exhibited by persons infected by viruses belonging to this family vary from mild-to-severe diseases i. e., febrile illness, encephalitis, haemorrhagic fever and acute respiratory illness. Several arthropods-borne viruses have been discovered and classified at serological level in India in the past. Some of these are highly pathogenic as the recent emergence and spread of Crimean-Congo haemorrhagic fever virus and presence of antibodies against Hantavirus in humans in India have provided evidences that it may become one of the emerging diseases in this country. For many of the discovered viruses, we still need to study their relevance to human and animal health. Chittoor virus, a variant of Batai virus; Ganjam virus, an Asian variant of Nairobi sheep disease virus; tick-borne viruses such as Bhanja, Palma and mosquito-borne viruses such as Sathuperi, Thimiri, Umbre and Ingwavuma viruses have been identified as the members of this family. As Bunyaviruses are three segmented RNA viruses, they can reassort the segments into genetically distinct viruses in target cells. This ability is believed to play a major role in evolution, pathogenesis and epidemiology of the viruses. Here, we provide a comprehensive overview of discovery, emergence and distribution of Bunyaviruses in India."
3453,Cecilia,NO,NA,"Davidson, I",a new look at avian flaviviruses,2015,ISRAEL JOURNAL OF VETERINARY MEDICINE,Web of Science,"The flaviviruses are important pathogens of wild birds, domestic poultry and humans, and several members are zoonotic. The review presents an update of the classification of this family of avian flaviviruses, describing their emergence, hosts and major disease features, dissemination patterns and control, as well as their molecular classification and genetic relatedness. A new perspective, based on the molecular identity of TMEV and BGAV throughout the entire genome, presents an innovative look at avian flaviviruses offering a global perceptive on the presence of these avian flaviruses and on the present view that TMEV exists only in Israel. Therefore, we suggest renaming TMEV and BGAV by a unified name, Avian Meningoencephalitis Virus - AMEV."
3454,Cecilia,NO,NA,"Kleinman, S; Reed, W; Stassinopoulos, A",a patient-oriented risk-benefit analysis of pathogen-inactivated blood components: application to apheresis platelets in the united states,2013,TRANSFUSION,Web of Science,"We performed a risk-benefit analysis for implementation of pathogen-inactivated (PI) apheresis platelets (APs) in the United States, focusing on the amotosalen/ultraviolet-A system. Risks and benefits were quantified per patient assuming a mean of 6 AP units per treatment cycle and using available clinical data, mathematical modeling, and observational studies. Current risks associated with AP transfusion can be divided into known partially addressed risks, known well-addressed risks, and unknown risks associated with acute or chronic emerging infectious agents (EIAs). Bacterial contamination dominates the first category, at a per-patient rate of 1:250, which correlates with an estimated septic transfusion reaction rate of 1:1000. Quantitation of per-patient EIA risk was modeled to be between 1:370 (acute) and 1:667 (chronic). Due to its broad range of action PI is expected to reduce or eliminate these infectious risks and also to reduce the rate of febrile transfusion reactions and possibly alloimmunization. These benefits are weighed against 1) concerns for excess bleeding, 2) an apparent increase in acute respiratory distress syndrome in the initial report of the SPRINT clinical trial, and 3) the possible toxicity associated with the introduction of a new chemical into platelet (PLT) units. However, transfusion of an estimated 100,000 patients with PI PLTs worldwide has occurred without reported serious adverse effects. We conclude that evidence indicates a favorable risk-benefit profile for the implementation of PLT PI and argues for a path forward toward US regulatory approval."
3455,Joy,NO,NA,"Dechner, A",a retrospective analysis of the leptospirosis research in colombia,2014,JOURNAL OF INFECTION IN DEVELOPING COUNTRIES,Web of Science,"Introduction: Leptospirosis is a re-emerging infectious disease whose prevalence is often underestimated, not only in Colombia, but in most developing countries. The objective of this paper is to assess the research status of leptospirosis in Colombia in order to identify trends, knowledge gaps, and directions for future research. Methodology: With the aim of gathering all the information available on leptospirosis in the country, a web search was conducted in various indexes and databases. The search terms used were: Leptospirosis + Colombia. A total of 95 publications were found and analyzed using descriptive statistics. Results: The first report of leptospirosis in the country was published in 1957. More than 60% of the published works focus on the prevalence of the disease. The Central part of the country is the area with the highest number of publications. MAT was used in 84% of the prevalence studies and humans are the most studied taxonomic group, with 45% of the publications. The highest prevalence of the disease was registered for rodents (82.7%, 62/75), followed by humans (67.9%, 53/78), pigs (67.6%, 342/506), and dogs (67.2%, 41/61). The prevalence of the disease in the country is associated with occupational factors, hygiene conditions and contact with rodents. Conclusion: Although leptospirosis is a prevalent disease in Colombia, the limitations of the diagnostic techniques used and the lack of a unified criteria on titers thresholds, make an accurate assessment of the prevalence of the disease in the country problematic."
3456,Joy,NO,NA,"Paronyan, L; Zardaryan, E; Bakunts, V; Gevorgyan, Z; Asoyan, V; Apresyan, H; Hovhannisyan, A; Palayan, K; Bautista, CT; Kuchuloria, T; Rivard, RG",a retrospective chart review study to describe selected zoonotic and arboviral etiologies in hospitalized febrile patients in the republic of armenia,2016,BMC INFECTIOUS DISEASES,Web of Science,"Background: Scant information is available on the infectious causes of febrile illnesses in Armenia. The goal of this study was to describe the most common causes, with a focus on zoonotic and arboviral infections and related epidemiological and clinical patterns for hospitalized patients with febrile illnesses of infectious origin admitted to Nork Infectious Diseases Clinical Hospital, the referral center for infectious diseases in the capital city, Yerevan. Method: A chart review study was conducted in 2014. Data were abstracted from medical charts of adults (>= 18 years) with a fever (>= 38 degrees C), who were hospitalized (for >= 24 h) in 2010-2012. Results: Of the 600 patients whose charts were analyzed, 76 % were from Yerevan and 51 % were male; the mean age (+/- standard deviation) was 35.5 (+/- 16) years. Livestock exposure was recorded in 5 % of charts. Consumption of undercooked meat and unpasteurized dairy products were reported in 11 and 8 % of charts, respectively. Intestinal infections (51 %) were the most frequently reported final medical diagnoses, followed by diseases of the respiratory system (11 %), infectious mononucleosis (9.5 %), chickenpox (8.3 %), brucellosis (8.3 %), viral hepatitis (3.2 %), and erysipelas (1.5 %). Reviewed medical charts included two cases of fever of unknown origin (FUO), two cutaneous anthrax cases, two leptospirosis cases, three imported malaria cases, one case of rickettsiosis, and one case of rabies. Engagement in agricultural activities, exposure to animals, consumption of raw or unpasteurized milk, and male gender were significantly associated with brucellosis. Conclusion: Our analysis indicated that brucellosis was the most frequently reported zoonotic disease among hospitalized febrile patients. Overall, these study results suggest that zoonotic and arboviral infections were not common etiologies among febrile adult patients admitted to the Nork Infectious Diseases Clinical Hospital in Armenia."
3457,Cecilia,NO,NA,"Jones, K; Ariel, E; Burgess, G; Read, M",a review of fibropapillomatosis in green turtles (chelonia mydas),2016,VETERINARY JOURNAL,Web of Science,"Despite being identified in 1938, many aspects of the pathogenesis and epidemiology of fibropapillomatosis (FP) in marine turtles are yet to be fully uncovered. Current knowledge suggests that FP is an emerging infectious disease, with the prevalence varying both spatially and temporally, even between localities in close proximity to each other. A high prevalence of FP in marine turtles has been correlated with residency in areas of reduced water quality, indicating that there is an environmental influence on disease presentation. Chelonid herpesvirus 5 (ChHV5) has been identified as the likely aetiological agent of FR The current taxonomic position of ChHV5 is in the family Herpesviridae, subfamily Alphahmesvirinae, genus Scutavirus. Molecular differentiation of strains has revealed that a viral variant is typically present at specific locations, even within sympatric species of marine turtles, indicating that the disease FP originates regionally. There is uncertainty surrounding the exact path of transmission and the conditions that facilitate lesion development, although recent research has identified atypical genes within the genome of ChHV5 that may play a role in pathogenesis. This review discusses emerging areas where researchers might focus and theories behind the emergence of FP globally since the 1980s, which appear to be a multi-factorial interplay between the virus, the host and environmental factors influencing disease expression. (C) 2015 Elsevier Ltd. All rights reserved."
3458,Cecilia,NO,NA,"Wiwanitkit, V",a review of human sparganosis in thailand,2005,INTERNATIONAL JOURNAL OF INFECTIOUS DISEASES,Web of Science,"Background: Sparganosis is a zoonosis that occurs occasionally in humans. The infection is reported in many countries but is most common in eastern Asia. In Thailand, a southeast Asian country, the infection is sporadic. Design: In this study the clinical presentations of human sparganosis cases in Thailand were investigated by means of a literature review. Results: Reports of 34 cases of sparganosis were found. The infections were ocular (17 cases), subcutaneous (ten cases), central nervous system (five cases), auricular (one case), pulmonary (one case), intraosseous (one case) and intraperitoneal, (one case). Of these 34 cases, 14 had risk behaviour reported, 12 had a history of drinking impure water, five had a history of eating frog or snake meat and two had a history of using frog or snake meat as a poultice. Some cases had more than one risk factor. Conclusion: Most cases of sparganosis in Thailand presented with superficial ocular mass lesions. The major risk behaviour in Thailand is drinking water contaminated with the infective organism. Some cases of serious deep visceral. sparganosis have also been reported. (c) 2005 International Society for Infectious Diseases. Published by Elsevier Ltd. All rights reserved."
3459,Joy,NO,NA,"Kilinc, FS",a review of isolation gowns in healthcare: fabric and gown properties,2015,JOURNAL OF ENGINEERED FIBERS AND FABRICS,Web of Science,"The threat of emerging infectious diseases including Ebola hemorrhagic fever, pandemic influenza, avian influenza, Hepatitis B, Hepatitis C, and SARS has highlighted the need for effective personal protective equipment (PPE) to protect healthcare workers (HCWs), patients, and visitors. PPE is a critical component in the hierarchy of controls used to protect HCWs from infectious hazards. HCW PPE may include gowns, respirators, face masks, gloves, eye protection, face shields, and head and shoe coverings. Important research has been conducted in certain areas, such as respirators and protective masks, but studies in other areas, particularly gowns, are scarce. Gowns are identified as the second-most-used piece of PPE, following gloves, in the healthcare setting. According to the Centers for Disease Control and Prevention's Guideline for Isolation Precautions, isolation gowns should be worn to protect HCWs' arms and exposed body areas during procedures and patient-care activities when anticipating contact with clothing, blood, bodily fluids, secretions and excretions. Isolation gowns currently available on the marketplace offer varying resistance to blood and other bodily fluids depending on the type of the material, its impermeability, and wear and tear. While some studies show no benefit of the routine use of isolation gowns, others demonstrate that its use is associated with a reduced infection rate. This paper reviews isolation gowns in healthcare settings, including the fabrics used, gown design and interfaces, as well as critical parameters that affect microorganism and liquid transmission through fabrics."
3460,Joy,NO,NA,"Bosnic, S; Gradoni, L; Khoury, C; Maroli, M",a review of leishmaniasis in dalmatia (croatia) and results from recent surveys on phlebotomine sandflies in three southern counties,2006,ACTA TROPICA,Web of Science,"Zoonotic visceral leishmaniasis (VL) is a re-emerging disease in the Mediterranean area. A historical review on human and canine leishmaniasis in Croatia documents the presence of stable disease foci in coastal and insular territories of central and southern Dalmatia since the beginning of the 20th century. We report on a 3-year entomological investigation (2002-2004) aimed to study the current species composition and seasonality of phlebotomine sandflies in 10 localities of Dalmatia. Standard blacklight traps employed for sampling Culicoides midges in the frame of bluetongue disease surveillance were used for the first time in phlebotomine monitoring. A total of 2917 sandflies were collected and five species were identified, Phlebotomus tobbi, Phlebotomus neglectus, Phlebotomus perfiliewi, Phlebotomus mascittii and Sergentomyia minuta. Among the species, which may act as Leishmania infantum vectors, P. tobbi and R neglectus were the most abundant. (c) 2006 Elsevier B.V. All rights reserved."
3461,Cecilia,NO,NA,"Reeves, WK; Bettano, AL",a review of mortality from parasitic and vector-borne diseases in the us air force from 1970 to 2012,2014,JOURNAL OF PARASITOLOGY,Web of Science,"We review a unique set of documents, death certificates, cataloged in the U. S. Air Force Mortality Registry database, which tracks deaths for all current and retired service members. We screened the records for all deaths caused by parasitic, vector-borne, or zoonotic diseases between 1970 and 2013. There were 78 deaths caused by a variety of diseases such as amebiasis, malaria, strongyloidiasis, schistosomiasis, and pneumocystosis. We compare these deaths to U. S. national deaths. U. S. Air Force service members are more likely to die from malaria, strongyloidiasis, and Q fever than the average American but are less likely to die from pneumocystosis."
3462,Cecilia,NO,NA,"Ksiazek, TG; Rota, PA; Rollin, PE",a review of nipah and hendra viruses with an historical aside,2011,VIRUS RESEARCH,Web of Science,"The emergence of Hendra and Nipah viruses in the 1990s has been followed by the further emergence of these viruses in the tropical Old World. The history and current knowledge of the disease, the viruses and their epidemiology is reviewed in this article. A historical aside summarizes the role that Dr. Brian W.J. Mahy played at critical junctures in the early stories of these viruses. (C) 2011 Elsevier B.V. All rights reserved."
