Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
Leishmaniases in Maghreb: an endemic neglected disease.,/pubmed/24412727,"Chaara D, Haouas N, Dedet JP, Babba H, Pratlong F.",Acta Trop. 2014 Apr;132:80-93. doi: 10.1016/j.actatropica.2013.12.018. Epub 2014 Jan 8. Review.,Acta Trop.  2014,PubMed,citation,PMID:24412727,pubmed,24412727,create date:2014/01/15 | first author:Chaara D
Tick repellents for human use: prevention of tick bites and tick-borne diseases.,/pubmed/24410143,"Pages F, Dautel H, Duvallet G, Kahl O, de Gentile L, Boulanger N.",Vector Borne Zoonotic Dis. 2014 Feb;14(2):85-93. doi: 10.1089/vbz.2013.1410. Epub 2014 Jan 10. Review.,Vector Borne Zoonotic Dis.  2014,PubMed,citation,PMID:24410143,pubmed,24410143,create date:2014/01/15 | first author:Pages F
"Guillain-Barre syndrome, influenza, and influenza vaccination: the epidemiologic evidence.",/pubmed/24415636,"Vellozzi C, Iqbal S, Broder K.",Clin Infect Dis. 2014 Apr;58(8):1149-55. doi: 10.1093/cid/ciu005. Epub 2014 Jan 9. Review.,Clin Infect Dis.  2014,PubMed,citation,PMID:24415636,pubmed,24415636,create date:2014/01/15 | first author:Vellozzi C
"Ear, nose and throat (ENT) involvement in zoonotic diseases: a systematic review.",/pubmed/24423708,"Galletti B, Mannella VK, Santoro R, Rodriguez-Morales AJ, Freni F, Galletti C, Galletti F, Cascio A.",J Infect Dev Ctries. 2014 Jan 15;8(1):17-23. doi: 10.3855/jidc.4206. Review.,J Infect Dev Ctries.  2014,PubMed,citation,PMID:24423708,pubmed,24423708,create date:2014/01/16 | first author:Galletti B
Zoonotic encephalitides caused by arboviruses: transmission and epidemiology of alphaviruses and flaviviruses.,/pubmed/24427764,"Go YY, Balasuriya UB, Lee CK.",Clin Exp Vaccine Res. 2014 Jan;3(1):58-77. doi: 10.7774/cevr.2014.3.1.58. Epub 2013 Dec 18. Review.,Clin Exp Vaccine Res.  2014,PubMed,citation,PMID:24427764 | PMCID:PMC3890452,pubmed,24427764,create date:2014/01/16 | first author:Go YY
Epidemic status of Swine influenza virus in china.,/pubmed/24426160,"Kong W, Ye J, Guan S, Liu J, Pu J.",Indian J Microbiol. 2014 Mar;54(1):3-11. doi: 10.1007/s12088-013-0419-7. Epub 2013 Jul 16. Review.,Indian J Microbiol.  2014,PubMed,citation,PMID:24426160 | PMCID:PMC3889855,pubmed,24426160,create date:2014/01/16 | first author:Kong W
Hepatitis E virus infections in humans and animals.,/pubmed/24427760,"Song YJ, Park WJ, Park BJ, Lee JB, Park SY, Song CS, Lee NH, Seo KH, Kang YS, Choi IS.",Clin Exp Vaccine Res. 2014 Jan;3(1):29-36. doi: 10.7774/cevr.2014.3.1.29. Epub 2013 Dec 18. Review.,Clin Exp Vaccine Res.  2014,PubMed,citation,PMID:24427760 | PMCID:PMC3890447,pubmed,24427760,create date:2014/01/16 | first author:Song YJ
Sarcocystis and sarcocystosis in India: status and emerging perspectives.,/pubmed/24431532,"Chhabra MB, Samantaray S.",J Parasit Dis. 2013 Apr;37(1):1-10. doi: 10.1007/s12639-012-0135-y. Epub 2012 Aug 17. Review.,J Parasit Dis.  2013,PubMed,citation,PMID:24431532 | PMCID:PMC3590369,pubmed,24431532,create date:2014/01/17 | first author:Chhabra MB
Hepatitis E: an emerging disease.,/pubmed/24434240,"Pérez-Gracia MT, Suay B, Mateos-Lindemann ML.",Infect Genet Evol. 2014 Mar;22:40-59. doi: 10.1016/j.meegid.2014.01.002. Epub 2014 Jan 13. Review.,Infect Genet Evol.  2014,PubMed,citation,PMID:24434240,pubmed,24434240,create date:2014/01/18 | first author:Pérez-Gracia MT
The Schistosoma japonicum self-cure phenomenon in water buffaloes: potential impact on the control and elimination of schistosomiasis in China.,/pubmed/24440417,"Li YS, McManus DP, Lin DD, Williams GM, Harn DA, Ross AG, Feng Z, Gray DJ.",Int J Parasitol. 2014 Mar;44(3-4):167-71. doi: 10.1016/j.ijpara.2013.10.007. Epub 2014 Jan 17. Review.,Int J Parasitol.  2014,PubMed,citation,PMID:24440417,pubmed,24440417,create date:2014/01/21 | first author:Li YS
"Dermatophytosis in animals: epidemiological, clinical and zoonotic aspects.",/pubmed/24442037,"Moretti A, Agnetti F, Mancianti F, Nardoni S, Righi C, Moretta I, Morganti G, Papini M.",G Ital Dermatol Venereol. 2013 Dec;148(6):563-72. Review.,G Ital Dermatol Venereol.  2013,PubMed,citation,PMID:24442037,pubmed,24442037,create date:2014/01/21 | first author:Moretti A
Climate change and public health policy: translating the science.,/pubmed/24452252,"Braks M, van Ginkel R, Wint W, Sedda L, Sprong H.",Int J Environ Res Public Health. 2013 Dec 19;11(1):13-29. doi: 10.3390/ijerph110100013. Review.,Int J Environ Res Public Health.  2013,PubMed,citation,PMID:24452252 | PMCID:PMC3924434,pubmed,24452252,create date:2014/01/24 | first author:Braks M
Visceral leishmaniasis in Iran: Review of the Epidemiological and Clinical Features.,/pubmed/24454426,Mohebali M.,Iran J Parasitol. 2013 Jul;8(3):348-58. Review.,Iran J Parasitol.  2013,PubMed,citation,PMID:24454426 | PMCID:PMC3887234,pubmed,24454426,create date:2014/01/24 | first author:Mohebali M
Cutaneous involvement in canine leishmaniosis due to Leishmania infantum (syn. L. chagasi).,/pubmed/24461051,"Saridomichelakis MN, Koutinas AF.","Vet Dermatol. 2014 Apr;25(2):61-71, e22. doi: 10.1111/vde.12105. Epub 2014 Jan 25. Review.",Vet Dermatol.  2014,PubMed,citation,PMID:24461051,pubmed,24461051,create date:2014/01/28 | first author:Saridomichelakis MN
Successful vaccines for naturally occurring protozoal diseases of animals should guide human vaccine research. A review of protozoal vaccines and their designs.,/pubmed/24476952,McAllister MM.,Parasitology. 2014 Apr;141(5):624-40. doi: 10.1017/S0031182013002060. Epub 2014 Jan 28. Review.,Parasitology.  2014,PubMed,citation,PMID:24476952 | PMCID:PMC3961066,pubmed,24476952,create date:2014/01/31 | first author:McAllister MM
Tularaemia: a challenging zoonosis.,/pubmed/24480622,"Carvalho CL, Lopes de Carvalho I, Zé-Zé L, Núncio MS, Duarte EL.",Comp Immunol Microbiol Infect Dis. 2014 Mar;37(2):85-96. doi: 10.1016/j.cimid.2014.01.002. Epub 2014 Jan 13. Review.,Comp Immunol Microbiol Infect Dis.  2014,PubMed,citation,PMID:24480622,pubmed,24480622,create date:2014/02/01 | first author:Carvalho CL
"Web-Based Surveillance Systems for Human, Animal, and Plant Diseases.",/pubmed/26082109,"Madoff LC, Li A.",Microbiol Spectr. 2014 Feb;2(1):OH-0015-2012. doi: 10.1128/microbiolspec.OH-0015-2012. Review.,Microbiol Spectr.  2014,PubMed,citation,PMID:26082109,pubmed,26082109,create date:2014/02/01 | first author:Madoff LC
"One Health and Food-Borne Disease: Salmonella Transmission between Humans, Animals, and Plants.",/pubmed/26082128,"Silva C, Calva E, Maloy S.",Microbiol Spectr. 2014 Feb;2(1):OH-0020-2013. doi: 10.1128/microbiolspec.OH-0020-2013. Review.,Microbiol Spectr.  2014,PubMed,citation,PMID:26082128,pubmed,26082128,create date:2014/02/01 | first author:Silva C
Recent developments in experimental animal models of Henipavirus infection.,/pubmed/24488776,Rockx B.,Pathog Dis. 2014 Jul;71(2):199-206. doi: 10.1111/2049-632X.12149. Epub 2014 Feb 26. Review.,Pathog Dis.  2014,PubMed,citation,PMID:24488776,pubmed,24488776,create date:2014/02/04 | first author:Rockx B
"Backyard poultry flocks and salmonellosis: a recurring, yet preventable public health challenge.",/pubmed/24501387,"Behravesh CB, Brinson D, Hopkins BA, Gomez TM.",Clin Infect Dis. 2014 May;58(10):1432-8. doi: 10.1093/cid/ciu067. Epub 2014 Feb 5. Review.,Clin Infect Dis.  2014,PubMed,citation,PMID:24501387,pubmed,24501387,create date:2014/02/07 | first author:Behravesh CB
Listeria monocytogenes infection in poultry and its public health importance with special reference to food borne zoonoses.,/pubmed/24498796,"Dhama K, Verma AK, Rajagunalan S, Kumar A, Tiwari R, Chakraborty S, Kumar R.",Pak J Biol Sci. 2013 Apr 1;16(7):301-8. Review.,Pak J Biol Sci.  2013,PubMed,citation,PMID:24498796,pubmed,24498796,create date:2014/02/07 | first author:Dhama K
Ante- and postmortem diagnostic techniques for anthrax: rethinking pathogen exposure and the geographic extent of the disease in wildlife.,/pubmed/24502707,"Bagamian KH, Alexander KA, Hadfield TL, Blackburn JK.",J Wildl Dis. 2013 Oct;49(4):786-801. doi: 10.7589/2013-05-126. Review.,J Wildl Dis.  2013,PubMed,citation,PMID:24502707,pubmed,24502707,create date:2014/02/08 | first author:Bagamian KH
"Food-borne pathogens of animal origin-diagnosis, prevention, control and their zoonotic significance: a review.",/pubmed/24506006,"Dhama K, Rajagunalan S, Chakraborty S, Verma AK, Kumar A, Tiwari R, Kapoor S.",Pak J Biol Sci. 2013 Oct 15;16(20):1076-85. Review.,Pak J Biol Sci.  2013,PubMed,citation,PMID:24506006,pubmed,24506006,create date:2014/02/11 | first author:Dhama K
"Fungal/mycotic diseases of poultry-diagnosis, treatment and control: a review.",/pubmed/24506030,"Dhama K, Chakraborty S, Verma AK, Tiwari R, Barathidasan R, Kumar A, Singh SD.",Pak J Biol Sci. 2013 Dec 1;16(23):1626-40. Review.,Pak J Biol Sci.  2013,PubMed,citation,PMID:24506030,pubmed,24506030,create date:2014/02/11 | first author:Dhama K
Clinical manifestations and outcomes of West Nile virus infection.,/pubmed/24509812,Sejvar JJ.,Viruses. 2014 Feb 6;6(2):606-23. doi: 10.3390/v6020606. Review.,Viruses.  2014,PubMed,citation,PMID:24509812 | PMCID:PMC3939474,pubmed,24509812,create date:2014/02/11 | first author:Sejvar JJ
Food and environmental routes of Hepatitis E virus transmission.,/pubmed/24513966,Van der Poel WH.,Curr Opin Virol. 2014 Feb;4:91-6. doi: 10.1016/j.coviro.2014.01.006. Epub 2014 Feb 8. Review.,Curr Opin Virol.  2014,PubMed,citation,PMID:24513966,pubmed,24513966,create date:2014/02/12 | first author:Van der Poel WH
Parasites and the conservation of small populations: The case of Baylisascaris procyonis.,/pubmed/24533336,Kristen Page L.,Int J Parasitol Parasites Wildl. 2013 Jun 10;2:203-10. doi: 10.1016/j.ijppaw.2013.05.003. eCollection 2013 Dec. Review.,Int J Parasitol Parasites Wildl.  2013,PubMed,citation,PMID:24533336 | PMCID:PMC3862498,pubmed,24533336,create date:2014/02/18 | first author:Kristen Page L
Natural history of Zoonotic Babesia: Role of wildlife reservoirs.,/pubmed/24533312,"Yabsley MJ, Shock BC.",Int J Parasitol Parasites Wildl. 2012 Nov 22;2:18-31. doi: 10.1016/j.ijppaw.2012.11.003. eCollection 2013 Dec. Review.,Int J Parasitol Parasites Wildl.  2013,PubMed,citation,PMID:24533312 | PMCID:PMC3862492,pubmed,24533312,create date:2014/02/18 | first author:Yabsley MJ
"Integrating surveillance of animal health, food pathogens and foodborne disease in the European Union.",/pubmed/24547655,"Berthe F, Hugas M, Makela P.",Rev Sci Tech. 2013 Aug;32(2):521-8. Review.,Rev Sci Tech.  2013,PubMed,citation,PMID:24547655,pubmed,24547655,create date:2014/02/20 | first author:Berthe F
World Health Organization initiative to estimate the global burden of foodborne diseases.,/pubmed/24547649,"Kuchenmüller T, Abela-Ridder B, Corrigan T, Tritscher A.",Rev Sci Tech. 2013 Aug;32(2):459-67. Review.,Rev Sci Tech.  2013,PubMed,citation,PMID:24547649,pubmed,24547649,create date:2014/02/20 | first author:Kuchenmüller T
"The role of the OIE in information exchange and the control of animal diseases, including zoonoses.",/pubmed/24547648,"Poissonnier C, Teissier M.","Rev Sci Tech. 2013 Aug;32(2):447-57, 433-45. Review. English, French. ",Rev Sci Tech.  2013,PubMed,citation,PMID:24547648,pubmed,24547648,create date:2014/02/20 | first author:Poissonnier C
"Veterinary education in the area of food safety (including animal health, food pathogens and surveillance of foodborne diseases).",/pubmed/24547647,"Vidal SM, Fajardo PI, González CG.","Rev Sci Tech. 2013 Aug;32(2):425-31, 417-24. Review. English, Spanish. ",Rev Sci Tech.  2013,PubMed,citation,PMID:24547647,pubmed,24547647,create date:2014/02/20 | first author:Vidal SM
Campylobacter fetus infections in humans: exposure and disease.,/pubmed/24550377,"Wagenaar JA, van Bergen MA, Blaser MJ, Tauxe RV, Newell DG, van Putten JP.",Clin Infect Dis. 2014 Jun;58(11):1579-86. doi: 10.1093/cid/ciu085. Epub 2014 Feb 18. Review.,Clin Infect Dis.  2014,PubMed,citation,PMID:24550377,pubmed,24550377,create date:2014/02/20 | first author:Wagenaar JA
Use of vaccines as probes to define disease burden.,/pubmed/24553294,"Feikin DR, Scott JA, Gessner BD.",Lancet. 2014 May 17;383(9930):1762-70. doi: 10.1016/S0140-6736(13)61682-7. Epub 2014 Feb 17. Review. Erratum in: Lancet. 2014 Jun 21;383(9935):2126. ,Lancet.  2014,PubMed,citation,PMID:24553294 | PMCID:PMC4682543,pubmed,24553294,create date:2014/02/21 | first author:Feikin DR
Louping ill virus: an endemic tick-borne disease of Great Britain.,/pubmed/24552787,"Jeffries CL, Mansfield KL, Phipps LP, Wakeley PR, Mearns R, Schock A, Bell S, Breed AC, Fooks AR, Johnson N.",J Gen Virol. 2014 May;95(Pt 5):1005-14. doi: 10.1099/vir.0.062356-0. Epub 2014 Feb 19. Review.,J Gen Virol.  2014,PubMed,citation,PMID:24552787 | PMCID:PMC4811648,pubmed,24552787,create date:2014/02/21 | first author:Jeffries CL
Outer surface proteins of Borrelia: peerless immune evasion tools.,/pubmed/24555888,"Pulzova L, Bhide M.",Curr Protein Pept Sci. 2014 Feb;15(1):75-88. Review.,Curr Protein Pept Sci.  2014,PubMed,citation,PMID:24555888,pubmed,24555888,create date:2014/02/22 | first author:Pulzova L
Emerging infectious diseases.,/pubmed/24563608,van Doorn HR.,Medicine (Abingdon). 2014 Jan;42(1):60-63. Review.,Medicine (Abingdon).  2014,PubMed,citation,PMID:24563608 | PMCID:PMC3929004,pubmed,24563608,create date:2014/02/25 | first author:van Doorn HR
Autochthonous Hepatitis E Virus Infection in Europe: A Matter of Concern for Public Health?,/pubmed/26357613,Echevarría JM.,J Clin Transl Hepatol. 2014 Mar;2(1):7-14. doi: 10.14218/JCTH.2013.00027. Epub 2014 Mar 15. Review.,J Clin Transl Hepatol.  2014,PubMed,citation,PMID:26357613 | PMCID:PMC4521255,pubmed,26357613,create date:2014/03/01 | first author:Echevarría JM
Visceral cat scratch disease with endocarditis in an immunocompetent adult: a case report and review of the literature.,/pubmed/24575798,"Shasha D, Gilon D, Vernea F, Moses AE, Strahilevitz J.",Vector Borne Zoonotic Dis. 2014 Mar;14(3):175-81. doi: 10.1089/vbz.2012.1279. Epub 2014 Feb 27. Review.,Vector Borne Zoonotic Dis.  2014,PubMed,citation,PMID:24575798,pubmed,24575798,create date:2014/03/01 | first author:Shasha D
"Healthy animals, healthy people: zoonosis risk from animal contact in pet shops, a systematic review of the literature.",/pubmed/24586679,"Halsby KD, Walsh AL, Campbell C, Hewitt K, Morgan D.",PLoS One. 2014 Feb 26;9(2):e89309. doi: 10.1371/journal.pone.0089309. eCollection 2014. Review.,PLoS One.  2014,PubMed,citation,PMID:24586679 | PMCID:PMC3935869,pubmed,24586679,create date:2014/03/04 | first author:Halsby KD
Reverse zoonotic disease transmission (zooanthroponosis): a systematic review of seldom-documented human biological threats to animals.,/pubmed/24586500,"Messenger AM, Barnes AN, Gray GC.",PLoS One. 2014 Feb 28;9(2):e89055. doi: 10.1371/journal.pone.0089055. eCollection 2014. Review.,PLoS One.  2014,PubMed,citation,PMID:24586500 | PMCID:PMC3938448,pubmed,24586500,create date:2014/03/04 | first author:Messenger AM
Chagas disease: the challenge of polyparasitism?,/pubmed/24581558,"Perez CJ, Lymbery AJ, Thompson RC.",Trends Parasitol. 2014 Apr;30(4):176-82. doi: 10.1016/j.pt.2014.01.008. Epub 2014 Feb 24. Review.,Trends Parasitol.  2014,PubMed,citation,PMID:24581558,pubmed,24581558,create date:2014/03/04 | first author:Perez CJ
The components of 'One World - One Health' approach.,/pubmed/24589096,"Calistri P, Iannetti S, Danzetta ML, Narcisi V, Cito F, Sabatino DD, Bruno R, Sauro F, Atzeni M, Carvelli A, Giovannini A.",Transbound Emerg Dis. 2013 Nov;60 Suppl 2:4-13. doi: 10.1111/tbed.12145. Review.,Transbound Emerg Dis.  2013,PubMed,citation,PMID:24589096,pubmed,24589096,create date:2014/03/05 | first author:Calistri P
Analysis of surveillance systems in place in European Mediterranean countries for West Nile virus (WNV) and Rift Valley fever (RVF).,/pubmed/24589100,"Cito F, Narcisi V, Danzetta ML, Iannetti S, Sabatino DD, Bruno R, Carvelli A, Atzeni M, Sauro F, Calistri P.",Transbound Emerg Dis. 2013 Nov;60 Suppl 2:40-4. doi: 10.1111/tbed.12124. Review.,Transbound Emerg Dis.  2013,PubMed,citation,PMID:24589100,pubmed,24589100,create date:2014/03/05 | first author:Cito F
Cutaneous leishmaniasis caused by Leishmania major in morocco: still a topical question.,/pubmed/24617131,"Riyad M, Chiheb S, Soussi-Abdallaoui M.",East Mediterr Health J. 2013 May;19(5):495-501. Review.,East Mediterr Health J.  2013,PubMed,citation,PMID:24617131,pubmed,24617131,create date:2014/03/13 | first author:Riyad M
Zebrafish as a model for zoonotic aquatic pathogens.,/pubmed/24607289,"Rowe HM, Withey JH, Neely MN.",Dev Comp Immunol. 2014 Sep;46(1):96-107. doi: 10.1016/j.dci.2014.02.014. Epub 2014 Mar 6. Review.,Dev Comp Immunol.  2014,PubMed,citation,PMID:24607289 | PMCID:PMC4096445,pubmed,24607289,create date:2014/03/13 | first author:Rowe HM
Cutaneous leishmaniasis in North Africa: a review.,/pubmed/24626301,"Aoun K, Bouratbine A.",Parasite. 2014;21:14. doi: 10.1051/parasite/2014014. Epub 2014 Mar 14. Review.,Parasite.  2014,PubMed,citation,PMID:24626301 | PMCID:PMC3952656,pubmed,24626301,create date:2014/03/15 | first author:Aoun K
Effects of environmental change on zoonotic disease risk: an ecological primer.,/pubmed/24636356,"Estrada-Peña A, Ostfeld RS, Peterson AT, Poulin R, de la Fuente J.",Trends Parasitol. 2014 Apr;30(4):205-14. doi: 10.1016/j.pt.2014.02.003. Epub 2014 Mar 11. Review.,Trends Parasitol.  2014,PubMed,citation,PMID:24636356,pubmed,24636356,create date:2014/03/19 | first author:Estrada-Peña A
Strengthening the Reporting of Molecular Epidemiology for Infectious Diseases (STROME-ID): an extension of the STROBE statement.,/pubmed/24631223,"Field N, Cohen T, Struelens MJ, Palm D, Cookson B, Glynn JR, Gallo V, Ramsay M, Sonnenberg P, Maccannell D, Charlett A, Egger M, Green J, Vineis P, Abubakar I.",Lancet Infect Dis. 2014 Apr;14(4):341-52. doi: 10.1016/S1473-3099(13)70324-4. Epub 2014 Mar 14. Review.,Lancet Infect Dis.  2014,PubMed,citation,PMID:24631223,pubmed,24631223,create date:2014/03/19 | first author:Field N
"Influenza viruses: update on epidemiology, clinical features, treatment and vaccination.",/pubmed/24637227,Kidd M.,Curr Opin Pulm Med. 2014 May;20(3):242-6. doi: 10.1097/MCP.0000000000000049. Review.,Curr Opin Pulm Med.  2014,PubMed,citation,PMID:24637227,pubmed,24637227,create date:2014/03/19 | first author:Kidd M
"Viral lung infections: epidemiology, virology, clinical features, and management of avian influenza A(H7N9).",/pubmed/24637225,"To KK, Chan JF, Yuen KY.",Curr Opin Pulm Med. 2014 May;20(3):225-32. doi: 10.1097/MCP.0000000000000047. Review.,Curr Opin Pulm Med.  2014,PubMed,citation,PMID:24637225,pubmed,24637225,create date:2014/03/19 | first author:To KK
Oral cavity myiasis in children: first demonstration in Egypt with general review.,/pubmed/24640873,"Abosdera MM, Morsy TA.",J Egypt Soc Parasitol. 2013 Dec;43(3):737-46. Review.,J Egypt Soc Parasitol.  2013,PubMed,citation,PMID:24640873,pubmed,24640873,create date:2014/03/20 | first author:Abosdera MM
New treatments for COPD in the elderly.,/pubmed/24641227,"Matera MG, Calzetta L, Rogliani P, Cesario A, Cazzola M.",Curr Pharm Des. 2014;20(38):5968-82. Review.,Curr Pharm Des.  2014,PubMed,citation,PMID:24641227,pubmed,24641227,create date:2014/03/20 | first author:Matera MG
Autochthonous hepatitis e virus infections: a new transfusion-associated risk?,/pubmed/24659945,"Dreier J, Juhl D.",Transfus Med Hemother. 2014 Feb;41(1):29-39. doi: 10.1159/000357098. Epub 2013 Dec 30. Review.,Transfus Med Hemother.  2014,PubMed,citation,PMID:24659945 | PMCID:PMC3949615,pubmed,24659945,create date:2014/03/25 | first author:Dreier J
A current review of avian influenza in pigeons and doves (Columbidae).,/pubmed/24667061,Abolnik C.,Vet Microbiol. 2014 Jun 4;170(3-4):181-96. doi: 10.1016/j.vetmic.2014.02.042. Epub 2014 Mar 12. Review.,Vet Microbiol.  2014,PubMed,citation,PMID:24667061,pubmed,24667061,create date:2014/03/29 | first author:Abolnik C
Streptococcus suis infection: an emerging/reemerging challenge of bacterial infectious diseases?,/pubmed/24667807,"Feng Y, Zhang H, Wu Z, Wang S, Cao M, Hu D, Wang C.",Virulence. 2014 May 15;5(4):477-97. doi: 10.4161/viru.28595. Epub 2014 Mar 25. Review.,Virulence.  2014,PubMed,citation,PMID:24667807 | PMCID:PMC4063810,pubmed,24667807,create date:2014/03/29 | first author:Feng Y
Defining the geographical range of the Plasmodium knowlesi reservoir.,/pubmed/24676231,"Moyes CL, Henry AJ, Golding N, Huang Z, Singh B, Baird JK, Newton PN, Huffman M, Duda KA, Drakeley CJ, Elyazar IR, Anstey NM, Chen Q, Zommers Z, Bhatt S, Gething PW, Hay SI.",PLoS Negl Trop Dis. 2014 Mar 27;8(3):e2780. doi: 10.1371/journal.pntd.0002780. eCollection 2014 Mar. Review.,PLoS Negl Trop Dis.  2014,PubMed,citation,PMID:24676231 | PMCID:PMC3967999,pubmed,24676231,create date:2014/03/29 | first author:Moyes CL
"Extended-spectrum β-lactamase-producing Escherichia coli isolated from poultry: a review of current problems, illustrated with some laboratory findings.",/pubmed/24666286,"Olsen RH, Bisgaard M, Löhren U, Robineau B, Christensen H.",Avian Pathol. 2014;43(3):199-208. doi: 10.1080/03079457.2014.907866. Epub 2014 Apr 22. Review.,Avian Pathol.  2014,PubMed,citation,PMID:24666286,pubmed,24666286,create date:2014/03/29 | first author:Olsen RH
Skin manifestations of arthropod-borne infection in Latin America.,/pubmed/24685551,"Bolivar-Mejia A, Alarcón-Olave C, Rodriguez-Morales AJ.",Curr Opin Infect Dis. 2014 Jun;27(3):288-94. doi: 10.1097/QCO.0000000000000060. Review.,Curr Opin Infect Dis.  2014,PubMed,citation,PMID:24685551,pubmed,24685551,create date:2014/04/02 | first author:Bolivar-Mejia A
The arable ecosystem as battleground for emergence of new human pathogens.,/pubmed/24688484,"van Overbeek LS, van Doorn J, Wichers JH, van Amerongen A, van Roermund HJ, Willemsen PT.",Front Microbiol. 2014 Mar 20;5:104. doi: 10.3389/fmicb.2014.00104. eCollection 2014. Review.,Front Microbiol.  2014,PubMed,citation,PMID:24688484 | PMCID:PMC3960585,pubmed,24688484,create date:2014/04/02 | first author:van Overbeek LS
"Echinococcosis in wild carnivorous species: epidemiology, genotypic diversity, and implications for veterinary public health.",/pubmed/24698659,"Carmena D, Cardona GA.",Vet Parasitol. 2014 May 28;202(3-4):69-94. doi: 10.1016/j.vetpar.2014.03.009. Epub 2014 Mar 15. Review.,Vet Parasitol.  2014,PubMed,citation,PMID:24698659,pubmed,24698659,create date:2014/04/05 | first author:Carmena D
"The journey towards elimination of gambiense human African trypanosomiasis: not far, nor easy.",/pubmed/24709291,"Franco JR, Simarro PP, Diarra A, Ruiz-Postigo JA, Jannin JG.",Parasitology. 2014 May;141(6):748-60. doi: 10.1017/S0031182013002102. Review.,Parasitology.  2014,PubMed,citation,PMID:24709291,pubmed,24709291,create date:2014/04/09 | first author:Franco JR
Zoonotic disease surveillance--inventory of systems integrating human and animal disease information.,/pubmed/24712724,"Wendt A, Kreienbrock L, Campe A.",Zoonoses Public Health. 2015 Feb;62(1):61-74. doi: 10.1111/zph.12120. Epub 2014 Apr 9. Review.,Zoonoses Public Health.  2015,PubMed,citation,PMID:24712724,pubmed,24712724,create date:2014/04/10 | first author:Wendt A
Sexual and vertical transmission of visceral leishmaniasis.,/pubmed/24727504,"Turchetti AP, Souza TD, Paixão TA, Santos RL.",J Infect Dev Ctries. 2014 Apr 15;8(4):403-7. doi: 10.3855/jidc.4108. Review.,J Infect Dev Ctries.  2014,PubMed,citation,PMID:24727504,pubmed,24727504,create date:2014/04/15 | first author:Turchetti AP
Vaccine preventable disease incidence as a complement to vaccine efficacy for setting vaccine policy.,/pubmed/24731817,"Gessner BD, Feikin DR.",Vaccine. 2014 May 30;32(26):3133-8. doi: 10.1016/j.vaccine.2014.04.019. Epub 2014 Apr 13. Review.,Vaccine.  2014,PubMed,citation,PMID:24731817 | PMCID:PMC4772886,pubmed,24731817,create date:2014/04/16 | first author:Gessner BD
Filoviruses in bats: current knowledge and future directions.,/pubmed/24747773,"Olival KJ, Hayman DT.",Viruses. 2014 Apr 17;6(4):1759-88. doi: 10.3390/v6041759. Review.,Viruses.  2014,PubMed,citation,PMID:24747773 | PMCID:PMC4014719,pubmed,24747773,create date:2014/04/22 | first author:Olival KJ
Bat flight and zoonotic viruses.,/pubmed/24750692,"O'Shea TJ, Cryan PM, Cunningham AA, Fooks AR, Hayman DT, Luis AD, Peel AJ, Plowright RK, Wood JL.",Emerg Infect Dis. 2014 May;20(5):741-5. doi: 10.3201/eid2005.130539. Review.,Emerg Infect Dis.  2014,PubMed,citation,PMID:24750692 | PMCID:PMC4012789,pubmed,24750692,create date:2014/04/23 | first author:O'Shea TJ
Current ante-mortem techniques for diagnosis of bovine tuberculosis.,/pubmed/24768355,"Bezos J, Casal C, Romero B, Schroeder B, Hardegger R, Raeber AJ, López L, Rueda P, Domínguez L.",Res Vet Sci. 2014 Oct;97 Suppl:S44-52. doi: 10.1016/j.rvsc.2014.04.002. Epub 2014 Apr 14. Review.,Res Vet Sci.  2014,PubMed,citation,PMID:24768355,pubmed,24768355,create date:2014/04/29 | first author:Bezos J
Pathology of the exotic companion mammal gastrointestinal system.,/pubmed/24767738,Reavill D.,Vet Clin North Am Exot Anim Pract. 2014 May;17(2):145-64. doi: 10.1016/j.cvex.2014.01.002. Review.,Vet Clin North Am Exot Anim Pract.  2014,PubMed,citation,PMID:24767738,pubmed,24767738,create date:2014/04/29 | first author:Reavill D
"Rabies: risk, prognosis and prevention.",/pubmed/24772797,Driver C.,Nurs Times. 2014 Apr 2-8;110(14):16-8. Review.,Nurs Times.  2014,PubMed,citation,PMID:24772797,pubmed,24772797,create date:2014/04/30 | first author:Driver C
Fatty acid sources and their fluxes as they contribute to plasma triglyceride concentrations and fatty liver in humans.,/pubmed/24785962,"Jacome-Sosa MM, Parks EJ.",Curr Opin Lipidol. 2014 Jun;25(3):213-20. doi: 10.1097/MOL.0000000000000080. Review.,Curr Opin Lipidol.  2014,PubMed,citation,PMID:24785962,pubmed,24785962,create date:2014/05/03 | first author:Jacome-Sosa MM
"Vampire bat rabies: ecology, epidemiology and control.",/pubmed/24784570,"Johnson N, Aréchiga-Ceballos N, Aguilar-Setien A.",Viruses. 2014 Apr 29;6(5):1911-28. doi: 10.3390/v6051911. Review.,Viruses.  2014,PubMed,citation,PMID:24784570 | PMCID:PMC4036541,pubmed,24784570,create date:2014/05/03 | first author:Johnson N
The 2014 Ebola virus disease outbreak in West Africa.,/pubmed/24795448,Gatherer D.,J Gen Virol. 2014 Aug;95(Pt 8):1619-24. doi: 10.1099/vir.0.067199-0. Epub 2014 May 2. Review.,J Gen Virol.  2014,PubMed,citation,PMID:24795448,pubmed,24795448,create date:2014/05/06 | first author:Gatherer D
