"authors","title","year","journal","search","abstract"
"Chandra V, Taneja S, Kalia M, Jameel S.","molecular biology and pathogenesis of hepatitis e virus","2008","J Biosci.","PubMed",NA
"Cao, DJ; Meng, XJ","molecular biology and replication of hepatitis e virus","2012","EMERGING MICROBES & INFECTIONS","Web of Science","Hepatitis E virus (HEV), a single-stranded, positive-sense RNA virus, is responsible for acute hepatitis E epidemics in many developing countries, and the virus is also endemic in some industrialized countries. Hepatitis E is a recognized zoonotic disease, and several animal species, including pigs, are potential reservoirs for HEV. The genome of HEV contains three open reading frames (ORFs). ORF1 encodes the nonstructural proteins, ORF2 encodes the capsid protein, and ORF3 encodes a small multifunctional protein. The ORF2 and ORF3 proteins are translated from a single, bicistronic mRNA. The coding sequences for these two ORFs overlap each other, but neither overlaps with ORF1. Whereas the mechanisms underlying HEV replication are poorly understood, the construction of infectious viral clones, the identification of cell lines that support HEV replication, and the development of small animal models have allowed for more detailed study of the virus. As result of these advances, recently, our understanding of viral entry, genomic replication and viral egress has improved. Furthermore, the determination of the T=1 and T=3 structure of HEV virus-like particles has furthered our understanding of the replication of HEV. This article reviews the latest developments in the molecular biology of HEV with an emphasis on the genomic organization, the expression and function of genes, and the structure and replication of HEV."
"Xiao L, Fayer R.","molecular characterisation of species and genotypes of cryptosporidium and giardia and assessment of zoonotic transmission","2008","Int J Parasitol.","PubMed",NA
"Diederich S, Maisner A.","molecular characteristics of the nipah virus glycoproteins","2007","Ann N Y Acad Sci.","PubMed",NA
"Metzdorf, IP; Lima, MSD; Matos, MDC; de Souza, AF; Tsujisaki, RAD; Franco, KG; Shapiro, JT; Borges, FD","molecular characterization of leishmania infantum in domestic cats in a region of brazil endemic for human and canine visceral leishmaniasis","2017","ACTA TROPICA","Web of Science","Leishmaniasis is a ""neglected tropical disease"" and serious public health issue in Brazil. While dogs are recognized as particularly important reservoirs, recent reports of domestic cats infected with Leishmania sp. in urban areas suggest their participation in the epidemiological chain of the parasite in endemic areas. The aim of this study was to screen domestic cats for Leishmania sp. infection in an area where human and canine visceral leishmaniasis are endemic, followed by the identification of the species circulating in cats. We collected peripheral blood, lymph-node aspirates and bone marrow from 100 adult animals, both male and female, and analyzed the samples using cytological and molecular (PCR) detection techniques. We detected Leishmania in 6% of animals, which were then analyzed by RFLP-PCR to identify the species. Leishmania infantum (synonym: L chagasi), a species responsible for visceral leishmaniasis in humans and other animals, was identified from all six samples. Amastigotes were observed in the peripheral blood, bone marrow and lymph-node aspirates in 4 of the 6 PCR-positive animals. The presence of infected cats in endemic areas should not be neglected, because it demonstrates the potential role of these animals in the biological cycle of the pathogen. (C) 2016 Elsevier B.V. All rights reserved."
"Frasao, BD; Marin, VA; Conte, CA","molecular detection typing and quantification of campylobacter spp in foods of animal origin","2017","COMPREHENSIVE REVIEWS IN FOOD SCIENCE AND FOOD SAFETY","Web of Science","The most frequently reported zoonosis and the main bacterial foodborne disease infection in humans is caused by Campylobacter spp., and C. jejuni and C. coli are the most common types. These bacteria can be found in the intestinal tracts of cattle, dogs, cats, sheep, poultry and pigs. The isolation of this microorganism is laborious because it requires specific media and a low oxygen concentration for growth. Additionally, differentiation between species through conventional bacteriology is difficult, as there are few different biochemical characteristics among the various species. Molecular microbiological techniques have become more important and are now broadly applied to help overcome difficulties in the identification, differentiation, and quantification of this pathogen. To date, there have been advances in the development and use of molecular techniques for the identification of microorganisms in foodstuffs. Tools such as pulsed-field gel electrophoresis and multilocus sequence typing are the most commonly used for typing. For the identification and confirmation of species, polymerase chain reaction (PCR) is crucial. Quantification by real-time PCR has wide applicability. To identify strains and antimicrobial resistance genes, sequencing technologies have been applied. This review builds on the discussion about the main and most widely used molecular methods for Campylobacter, as well as methods showing better potential for the classification, identification, and quantification of this important pathogen."
"Dumler, JS; Brouqui, P","molecular diagnosis of human granulocytic anaplasmosis","2004","EXPERT REVIEW OF MOLECULAR DIAGNOSTICS","Web of Science","Human granulocytic anaplasmosis, formerly known as human granulocytic ehrlichiosis, Is caused by the microorganism Anaplasma phagocytophilum that Is transmitted by Ixodes tick bites. The disease state ranges from subclinical to fatal but may be difficult to differentiate from other febrile conditions without specific tests. Rapid and early diagnosis Is Important since the Infection may be fatal and specific antibiotic therapy is required. The bacterium Is an obligate Intracellular pathogen of neutrophils. Thus, early diagnosis Is best achieved by amplification of nucleic acids from the blood. An Increasing number of potential gene targets for diagnostic assays have been described and the Incipient release of an Anaplasma phagocytophitum genome sequence will not only help to better understand the disease but may facilitate Improvements In diagnostic strategies."
"McElhinney LM, Marston DA, Wise EL, Freuling CM, Bourhy H, Zanoni R, Moldal T, Kooi EA, Neubauer-Juric A, Nokireki T, Müller T, Fooks AR.","molecular epidemiology and evolution of european bat lyssavirus 2","2018","Int J Mol Sci.","PubMed",NA
"Gibson W.","molecular epidemiology of african trypanosomiasis: the contributions of david george godfrey obe to the biochemical characterization of trypanosomes","2008","Parasite.","PubMed",NA
"Feng Y, Xiao L.","molecular epidemiology of cryptosporidiosis in china","2017","Front Microbiol.","PubMed",NA
"Xiao L.","molecular epidemiology of cryptosporidiosis: an update","2010","Exp Parasitol.","PubMed",NA
"Cacciò SM.","molecular epidemiology of human cryptosporidiosis","2005","Parassitologia.","PubMed",NA
"Schrenzel MD.","molecular epidemiology of mycobacteriosis in wildlife and pet animals","2012","Vet Clin North Am Exot Anim Pract.","PubMed",NA
"El-Sayed A, El-Shannat S, Kamel M, Castañeda-Vazquez MA, Castañeda-Vazquez H.","molecular epidemiology of mycobacterium bovis in humans and cattle","2016","Zoonoses Public Health.","PubMed",NA
"Lee SG, Cho HG, Paik SY.","molecular epidemiology of norovirus in south korea","2015","BMB Rep.","PubMed",NA
"Keim P, Johansson A, Wagner DM.","molecular epidemiology evolution and ecology of francisella","2007","Ann N Y Acad Sci.","PubMed",NA
"Traub RJ, Monis PT, Robertson ID.","molecular epidemiology: a multidisciplinary approach to understanding parasitic zoonoses","2005","Int J Parasitol.","PubMed",NA
"Michelet L, Dauga C.","molecular evidence of host influences on the evolution and spread of human tapeworms","2012","Biol Rev Camb Philos Soc.","PubMed",NA
"Barbara S. Sixt, Raphael H. Valdivia","molecular genetic analysis of chlamydia species","2016","Annual Review of Microbiology","Annual Reviews","Species of Chlamydia are the etiologic agent of endemic blinding trachoma, the leading cause of bacterial sexually transmitted diseases, significant respiratory pathogens, and a zoonotic threat. Their dependence on an intracellular growth niche and their peculiar developmental cycle are major challenges to elucidating their biology and virulence traits. The last decade has seen tremendous advances in our ability to perform a molecular genetic analysis of Chlamydia species. Major achievements include the generation of large collections of mutant strains, now available for forward- and reverse-genetic applications, and the introduction of a system for plasmid-based transformation enabling complementation of mutations; expression of foreign, modified, or reporter genes; and even targeted gene disruptions. This review summarizes the current status of the molecular genetic toolbox for Chlamydia species and highlights new insights into their biology and new challenges in the nascent field of Chlamydia genetics."
"Drancourt, M; Raoult, D","molecular history of plague","2016","CLINICAL MICROBIOLOGY AND INFECTION","Web of Science","Plague, a deadly zoonose caused by the bacterium Yersinia pestis, has been firmly documented in 39 historical burial sites in Eurasia that date from the Bronze Age to two historical pandemics spanning the 6th to 18th centuries. Palaeomicrobiologic data, including gene and spacer sequences, whole genome sequences and protein data, confirmed that two historical pandemics swept over Europe from probable Asian sources and possible two-way-ticket journeys back from Europe to Asia. These investigations made it possible to address questions regarding the potential sources and routes of transmission by completing the standard rodent and rodenteflea transmission scheme. This suggested that plague was transmissible by human ectoparasites such as lice, and that Y. pestis was able to persist for months in the soil, which is a source of reinfection for burrowing mammals. The analyses of seven complete genome sequences from the Bronze Age indicated that Y. pestis was probably not an ectoparasite-borne pathogen in these populations. Further analyses of 14 genomes indicated that the Justinian pandemic strains may have formed a clade distinct from the one responsible for the second pandemic, spanning in Y. pestis branch 1, which also comprises the third pandemic strains. Further palaeomicrobiologic studies must tightly connect with historical and anthropologic studies to resolve questions regarding the actual sources of plague in ancient populations, alternative routes of transmission and resistance traits. Answering these questions will broaden our understanding of plague epidemiology so we may better face the actuality of this deadly infection in countries where it remains epidemic. M. Drancourt, CMI 2016;22:911 (C) 2016 Published by Elsevier Ltd on behalf of European Society of Clinical Microbiology and Infectious Diseases."
"Ko, JY; Splitter, GA","molecular host-pathogen interaction in brucellosis: current understanding and future approaches to vaccine development for mice and humans","2003","CLINICAL MICROBIOLOGY REVIEWS","Web of Science","Brucellosis caused by Brucella spp. is a major zoonotic disease Control of brucellosis in agricultural animals is a prerequisite for the prevention of this disease in human beings. Recently, Brucella melitensis was declared by the Centers for Disease Control and Prevention to be one of three major bioterrorist agents due to the expense required for the treatment of human brucellosis patients. Also, the economic agricultural loss due to bovine brucellosis emphasizes the financial impact of brucellosis in society Thus, vaccination might efficiently solve this disease. Currently, B. abortus RB51 and B. melitensis REV.1 are used to immunize cattle and to immunize goats and sheep, respectively, in many countries, However, these geneticaly, undefined strains still induce abortion and persistent infection raising questions of safety and efficiency. In fact; the, REV.1 vaccine is quite virulent and apparently unstable, creating the need for improved vaccines for B. melitensis. In addition, Brucella spp. may or may not provide cross protection against infection by heterologaus Brucella species, hampering the acceleration of vaccine development. This review provides our current understanding of Brucella pathogenesis and host immunity for the development of genetically defined efficient vaccine strains. Additionally, conditions required for an effective Brucella vaccine strain as well as the future research direction needed to Investigate Brucella pathogenesis and host immunity are postulated."
"Stevens MP, Humphrey TJ, Maskell DJ.","molecular insights into farm animal and zoonotic salmonella infections","2009","Philos Trans R Soc Lond B Biol Sci.","PubMed",NA
"Pascal S. Kaeser, Wade G. Regehr","molecular mechanisms for synchronous asynchronous and spontaneous neurotransmitter release","2014","Annual Review of Physiology","Annual Reviews","Most neuronal communication relies upon the synchronous release of neurotransmitters, which occurs through synaptic vesicle exocytosis triggered by action potential invasion of a presynaptic bouton. However, neurotransmitters are also released asynchronously with a longer, variable delay following an action potential or spontaneously in the absence of action potentials. A compelling body of research has identified roles and mechanisms for synchronous release, but asynchronous release and spontaneous release are less well understood. In this review, we analyze how the mechanisms of the three release modes overlap and what molecular pathways underlie asynchronous and spontaneous release. We conclude that the modes of release have key fusion processes in common but may differ in the source of and necessity for Ca2+ to trigger release and in the identity of the Ca2+ sensor for release."
"Yasuko Rikihisa","molecular pathogenesis of ehrlichia chaffeensis infection","2015","Annual Review of Microbiology","Annual Reviews","Ehrlichia chaffeensis is an obligatory intracellular and cholesterol-dependent bacterium that has evolved special proteins and functions to proliferate inside leukocytes and cause disease. E. chaffeensis has a multigene family of major outer membrane proteins with porin activity and induces infectious entry using its entry-triggering protein to bind the human cell surface protein DNase X. During intracellular replication, three functional pairs of two-component systems are sequentially expressed to regulate metabolism, aggregation, and the development of stress-resistance traits for transmission. A type IV secretion effector of E. chaffeensis blocks mitochondrion-mediated host cell apoptosis. Several type I secretion proteins are secreted at the Ehrlichia<U+0096>host interface. E. chaffeensis strains induce strikingly variable inflammation in mice. The central role of MyD88, but not Toll-like receptors, suggests that Ehrlichia species have unique inflammatory molecules. A recent report about transient targeted mutagenesis and random transposon mutagenesis suggests that stable targeted knockouts may become feasible in Ehrlichia."
"Luczo, JM; Stambas, J; Durr, PA; Michalski, WP; Bingham, J","molecular pathogenesis of h5 highly pathogenic avian influenza: the role of the haemagglutinin cleavage site motif","2015","REVIEWS IN MEDICAL VIROLOGY","Web of Science","The emergence of H5N1 highly pathogenic avian influenza has caused a heavy socio-economic burden through culling of poultry to minimise human and livestock infection. Although human infections with H5N1 have to date been limited, concerns for the pandemic potential of this zoonotic virus have been greatly intensified following experimental evidence of aerosol transmission of H5N1 viruses in a mammalian infection model. In this review, we discuss the dominance of the haemagglutinin cleavage site motif as a pathogenicity determinant, the host-pathogen molecular interactions driving cleavage activation, reverse genetics manipulations and identification of residues key to haemagglutinin cleavage site functionality and the mechanisms of cell and tissue damage during H5N1 infection. We specifically focus on the disease in chickens, as it is in this species that high pathogenicity frequently evolves and from which transmission to the human population occurs. With >75% of emerging infectious diseases being of zoonotic origin, it is necessary to understand pathogenesis in the primary host to explain spillover events into the human population. (c) 2015 The Authors. Reviews in Medical Virology published by John Wiley & Sons Ltd."
"Wadsworth, JDF; Collinge, J","molecular pathology of human prion disease","2011","ACTA NEUROPATHOLOGICA","Web of Science","Human prion diseases are associated with a range of clinical presentations and are classified by both clinicopathological syndrome and aetiology with sub-classification according to molecular criteria. Considerable experimental evidence suggests that phenotypic diversity in human prion disease relates in significant part to the existence of distinct human prion strains encoded by abnormal PrP isoforms with differing physicochemical properties. To date, however, the conformational repertoire of pathological isoforms of wild-type human PrP and the various forms of mutant human PrP has not been fully defined. Efforts to produce a unified international classification of human prion disease are still ongoing. The ability of genetic background to influence prion strain selection together with knowledge of numerous other factors that may influence clinical and neuropathological presentation strongly emphasises the requirement to identify distinct human prion strains in appropriate transgenic models, where host genetic variability and other modifiers of phenotype are removed. Defining how many human prion strains exist allied with transgenic modelling of potentially zoonotic prion strains will inform on how many human infections may have an animal origin. Understanding these relationships will have direct translation to protecting public health."
"Morales-Hojas, R","molecular systematics of filarial parasites with an emphasis on groups of medical and veterinary importance and its relevance for epidemiology","2009","INFECTION GENETICS AND EVOLUTION","Web of Science","Filarial parasites are members of the Phylum Nemata that comprise several species of medical and veterinary importance. Among the human diseases caused by members of this group of nematodes are river blindness and lymphatic filariasis, which afflict millions of people in the tropics. These diseases not only have an impact on the health of the people affected but also bear a great socioeconomic burden. Despite their relevance, the systematics of the filarial parasites is not well understood yet, and additional molecular phylogenetic studies are required to comprehend the evolution of these parasites. Identifying the patterns of evolution of these parasites will be of relevance in preventing emerging zoonoses. The present review examines the information about the molecular systematics of filarial parasites available in the literature and evaluates the relevance of the different directions of future research. Furthermore, it is also intended to highlight the relevance of molecular systematic studies in the molecular epidemiology research area. (C) 2009 Elsevier B.V. All rights reserved."
"VanWormer, E; Fritz, H; Shapiro, K; Mazet, JAK; Conrad, PA","molecules to modeling: toxoplasma gondii oocysts at the human-animal-environment interface","2013","COMPARATIVE IMMUNOLOGY MICROBIOLOGY AND INFECTIOUS DISEASES","Web of Science","Environmental transmission of extremely resistant Toxoplasma gondii oocysts has resulted in infection of diverse species around the world, leading to severe disease and deaths in human and animal populations. This review explores T. gondii oocyst shedding, survival, and transmission, emphasizing the importance of linking laboratory and landscape from molecular characterization of oocysts to watershed-level models of oocyst loading and transport in terrestrial and aquatic systems. Building on discipline-specific studies, a One Health approach incorporating tools and perspectives from diverse fields and stakeholders has contributed to an advanced understanding of T. gondii and is addressing transmission at the rapidly changing human animal environment interface. (C) 2012 Elsevier Ltd. All rights reserved."
"Lindgren, Elisabet","monitoring eu emerging infectious disease risk due to climate change","2012","Science","Sociological Collection","The article explores the relationship between climate change, globalization, and other drivers that have made Europe a hot spot for emerging infectious diseases. The authors note the transmission of traditionally Tropical diseases in Europe, such as chikungunya fever in Italy, West Nile fever in Greece and Romania, and dengue fever in France and Croatia, adding that these events support a notion among public health officials that Europe is a potential hot spot for emerging or re-emerging infectious diseases (EIDs). Topics include the need for novel approaches to risk assessment and surveillance, the link between climate change, globalization, and infectious diseases, and a diagram illustrating weighted risk analysis of climate change impacts on infectious disease risks in Europe."
"Georges, AJ; Matton, T; Courbot-Georges, MC","monkey-pox a model of emergent then reemergent disease","2004","MEDECINE ET MALADIES INFECTIEUSES","Web of Science","The recent emergence of monkey pox in the United States of America highlights the problem (known for other infectious agents) of dissemination of pathogens outside their endemic area, and of subsequent global threats of variable gravity according to agents. It is a real emergency since monkey pox had been confined to Africa for several decades, where small epidemics occurred from time to time. monkey pox is a ""miniature smallpox"" which, in Africa, evolves on an endemic (zoonotic) mode with, as reservoirs, several species of wild rodents (mainly squirrels) and some monkey species. It can be accidentally transmitted to man then develops as epidemics, sometimes leading to death. The virus was imported in 2003 in the United States of America, via Gambia rats and wild squirrels (all African species), and infected prairie dogs (which are now in fashion as pets), then crossed the species barrier to man. In the United States of America, screening campaigns, epidemiological investigations, and subsequent treatments led to a rapid control of the epidemic, which is a model of emergent disease for this country. Therapeutic and preventive measures directly applicable to monkey pox are discussed. They can also be applied against other pox virus infections (including smallpox). The risk of criminal introduction of pox viruses is discussed since it is, more than ever, a real worldwide threat. (C) 2003 Elsevier SAS. Tous droits reserves."
"Stone, Richard","monkey fever unbound","2014","Science","Sociological Collection","The article discusses the spread of the hemorrhagic fever Kyasanur forest disease (KFD), or monkey fever, in India as of July 2014. Topics include the transmission of the disease by ticks to monkeys and humans, the history of KFD outbreaks since its emergence in 1956 including its leap to new areas in 2012-2013, and research into the epidemiology and virology of KFD and other emerging animal-borne pathogens."
"Prokopowicz, D; Wierzbicka, I","monkeypox - a dangerous zoonosis","2005","MEDYCYNA WETERYNARYJNA","Web of Science","The migration of people and the transport of animals beyond their natural environment result in the more and more frequent transfer of some diseases from one continent to another, outside epidemic areas. The last epidemic among people of an illness caused by an animal virus is eighty one cases of monkeypox noted in the United States up until June of 2003. This is the first case of the epidemic of this sickness observed in the northern hemisphere. Most cases of the disease occurred after patients had been bitten or scratched by pet prairie dogs, commonly kept in American homes. It has been proved that the animals became infected from imported Ghana rodents, African rats that constitute a natural reservoir of the microbe."
"Ligon BL.","monkeypox: a review of the history and emergence in the western hemisphere","2004","Semin Pediatr Infect Dis.","PubMed",NA
"Sale TA, Melski JW, Stratman EJ.","monkeypox: an epidemiologic and clinical comparison of african and us disease","2006","J Am Acad Dermatol.","PubMed",NA
"Smout, F; Schrieber, L; Speare, R; Skerratt, LF","more bark than bite: comparative studies are needed to determine the importance of canine zoonoses in aboriginal communities a critical review of published research","2017","ZOONOSES AND PUBLIC HEALTH","Web of Science","The objective of this review was to identify and critique over forty years of peer-reviewed literature concerned with the transmission of canine zoonoses to Aboriginal people and determine the zoonotic organisms documented in dogs in Australian Aboriginal communities. A systematic literature search of public health, medical and veterinary databases identified 19 articles suitable for critical appraisal. Thirteen articles documented the occurrence of recognized zoonotic organisms in dogs in Aboriginal communities, including Toxocara canis, Dirofilaria immitis, Streptococcus dysgalactiae, Rickettsia felis, Sarcoptes scabiei and Giardia. Currently, there is definitive evidence indicating that dogs act as a reservoir for human scabies in Aboriginal communities. However, there is a need for large-scale, high-quality, comparative studies of dogs and humans from the same household to assess the occurrence and importance of transmission of S.scabiei and other diseases between dogs and humans. These studies should use current genetic and molecular techniques along with traditional techniques to identify and type organisms in order to better understand their epidemiology. This review has revealed that there is a lack of high-quality comparative studies to determine whether dogs are contributing to human disease by transmitting zoonoses. Our recommendations differ significantly from current public health policy and may have substantial implications for human and dog health."
"Hinney B, Sak B, Joachim A, Kvác M.","more than a rabbit's tale - encephalitozoon spp in wild mammals and birds","2016","Int J Parasitol Parasites Wildl.","PubMed",NA
"Braack, L; de Almeida, APG; Cornel, AJ; Swanepoel, R; De Jager, C","mosquito-borne arboviruses of african origin: review of key viruses and vectors","2018","PARASITES & VECTORS","Web of Science","Key aspects of 36 mosquito-borne arboviruses indigenous to Africa are summarized, including lesser or poorly-known viruses which, like Zika, may have the potential to escape current sylvatic cycling to achieve greater geographical distribution and medical importance. Major vectors are indicated as well as reservoir hosts, where known. A series of current and future risk factors is addressed. It is apparent that Africa has been the source of most of the major mosquito-borne viruses of medical importance that currently constitute serious global public health threats, but that there are several other viruses with potential for international challenge. The conclusion reached is that increased human population growth in decades ahead coupled with increased international travel and trade is likely to sustain and increase the threat of further geographical spread of current and new arboviral disease."
"Tjaden NB, Caminade C, Beierkuhnlein C, Thomas SM.","mosquito-borne diseases: advances in modelling climate-change impacts","2017","Trends Parasitol.","PubMed",NA
"","movers tropical training","2007","Science","Sociological Collection","The article reports on the establishment of a research program by tropical disease specialist Duane Gubler and the medical school, established by Duke University and the National University of Singapore. The program was set up to strengthen the graduate-level medical training in the city-state and to address the emerging infectious diseases. Gubler, director at the Asia-Pacific Institute of Tropical Medicine and Infectious Diseases at the University of Hawaii in Manoa, expected to assemble a team of 10 principal investigators to do basic, clinical, and translational research and to train graduate and postdoctoral students."
"Grant, C; Lo Iacono, G; Dzingirai, V; Bett, B; Winnebah, TRA; Atkinson, PM","moving interdisciplinary science forward: integrating participatory modelling with mathematical modelling of zoonotic disease in africa","2016","INFECTIOUS DISEASES OF POVERTY","Web of Science","This review outlines the benefits of using multiple approaches to improve model design and facilitate multidisciplinary research into infectious diseases, as well as showing and proposing practical examples of effective integration. It looks particularly at the benefits of using participatory research in conjunction with traditional modelling methods to potentially improve disease research, control and management. Integrated approaches can lead to more realistic mathematical models which in turn can assist with making policy decisions that reduce disease and benefit local people. The emergence, risk, spread and control of diseases are affected by many complex bio-physical, environmental and socio-economic factors. These include climate and environmental change, land-use variation, changes in population and people's behaviour. The evidence base for this scoping review comes from the work of a consortium, with the aim of integrating modelling approaches traditionally used in epidemiological, ecological and development research. A total of five examples of the impacts of participatory research on the choice of model structure are presented. Example 1 focused on using participatory research as a tool to structure a model. Example 2 looks at identifying the most relevant parameters of the system. Example 3 concentrates on identifying the most relevant regime of the system (e.g., temporal stability or otherwise), Example 4 examines the feedbacks from mathematical models to guide participatory research and Example 5 goes beyond the so-far described two-way interplay between participatory and mathematical approaches to look at the integration of multiple methods and frameworks. This scoping review describes examples of best practice in the use of participatory methods, illustrating their potential to overcome disciplinary hurdles and promote multidisciplinary collaboration, with the aim of making models and their predictions more useful for decision-making and policy formulation."
"Su, C; Shwab, EK; Zhou, P; Zhu, XQ; Dubey, JP","moving towards an integrated approach to molecular detection and identification of toxoplasma gondii","2010","PARASITOLOGY","Web of Science","The development of simple, sensitive and rapid methods for the detection and identification of Toxoplasma gondii is important for the diagnosis and epidemiological studies of the zoonotic disease toxoplasmosis. In the past 2 decades, molecular methods based on a variety of genetic markers have been developed, each with its advantages and limitations. The application of these methods has generated invaluable information to enhance Our understanding of the epidemiology, population genetics and phylogeny of T. gondii. However, since most studies focused solely on the detection but not genetic characterization of T. gondii, the information obtained was limited. In this review, we discuss some widely used molecular methods and propose an integrated approach for the detection and identification of T. gondii, in order to generate maximum information for epidemiological, population and phylogenetic studies of this key pathogen."
"Teo CG.","much meat much malady: changing perceptions of the epidemiology of hepatitis e","2010","Clin Microbiol Infect.","PubMed",NA
"Royer, M; Puechal, X","mucormycosis in systemic autoimmune diseases","2014","JOINT BONE SPINE","Web of Science","Mucormycosis is an emerging infection in systemic autoimmune diseases. All published cases of systemic autoimmune diseases complicated by mucormycosis were reviewed. The clinical features, diagnostic procedures and the main principles of treatment were analyzed. Twenty-four cases of mucormycosis have been reported in systemic auto-immune diseases, of which 83% in systemic lupus erythematosus, all occurring during immunosuppressants. In most cases, the infection was disseminated or rhinocerebral and it had mimicked a flare of the underlying connective tissue disease. A fatal outcome was reported in 58.3% of these patients. In conclusion, mucormycosis often mimics a flare of the underlying systemic disease and is associated with a high mortality rate. Systemic lupus elythematosus is by far the most common associated systemic autoimmune disease. A high degree of awareness is warranted to rapidly rule out infection, of which mucormycosis, in immunocompromised patients with systemic autoimmune disease before a disease flare is conclusively diagnosed. (C) 2014 Societe francaise de rhumatologie. Published by Elsevier Masson SAS. All rights reserved."
"Xiao X, Cai J.","mucosal-associated invariant t cells: new insights into antigen recognition and activation","2017","Front Immunol.","PubMed",NA
"Yuki, Y; Kiyono, H","mucosal vaccines: novel advances in technology and delivery","2009","EXPERT REVIEW OF VACCINES","Web of Science","Mucosal vaccines are considered the most suitable type of vaccines to combat emerging and re-emerging infectious diseases because of their ability to induce both mucosal and systemic immunity. Considerable advances have been made toward the development of mucosal vaccines against influenza virus and rotavirus. Many additional mucosal vaccines are in development, including vaccines against cholera, typhoid, traveler's diarrhea and respiratory infections. In addition to oral and nasal vaccines, transcutaneous (or skin patch) and sublingual immunizations are now part of a new generation of mucosal vaccines. Furthermore, a rice-based oral vaccine (MucoRice (TM)) has been receiving global attention as a new form of cold chain-free vaccine, because it is stable at room temperature for a prolonged period. This review describes recent developments in mucosal vaccines with promising preclinical and clinical results."
"van Duijvendijk G, Sprong H, Takken W.","multi-trophic interactions driving the transmission cycle of borrelia afzelii between ixodes ricinus and rodents: a review","2015","Parasit Vectors.","PubMed",NA
"Wright JG, Tengelsen LA, Smith KE, Bender JB, Frank RK, Grendon JH, Rice DH, Thiessen AM, Gilbertson CJ, Sivapalasingam S, Barrett TJ, Besser TE, Hancock DD, Angulo FJ.","multidrug-resistant salmonella typhimurium in four animal facilities","2005","Emerg Infect Dis.","PubMed",NA
"Toombs-Ruane, LJ; Benschop, J; Burgess, S; Priest, P; Murdoch, DR; French, NP","multidrug resistant enterobacteriaceae in new zealand: a current perspective","2017","NEW ZEALAND VETERINARY JOURNAL","Web of Science","In this article we review mechanisms and potential transmission pathways of multidrug resistance in Enterobacteriaceae, with an emphasis on extended-spectrum -lactamase (ESBL)-production. This provides background to better understand challenges presented by this important group of antimicrobial resistant bacteria, and inform measures aimed at prevention and control of antimicrobial resistance in general. Humans and animals interact at various levels; household pets cohabit with humans, and other animals interact with people through direct contact, as well as through the food chain and the environment. These interactions offer opportunity for bacteria such as ESBL-producers to be shared and transmitted between species and, in turn, increase the risk of zoonotic and reverse-zoonotic disease transmission. A key step in curtailing antimicrobial resistance is improved stewardship of antimicrobials, including surveillance of their use, better infection-control and prevention, and a better understanding of prescribing practice in both veterinary and medical professions in New Zealand. This will also require prospective observational studies to examine risk factors for antimicrobial resistance. Due to the interconnectedness of humans, animals and the environment actions to effect the changes required should be undertaken using a One Health approach."
"Tscharntke, T; Clough, Y; Bhagwat, SA; Buchori, D; Faust, H; Hertel, D; Holscher, D; Juhrbandt, J; Kessler, M; Perfecto, I; Scherber, C; Schroth, G; Veldkamp, E; Wanger, TC","multifunctional shade-tree management in tropical agroforestry landscapes - a review","2011","JOURNAL OF APPLIED ECOLOGY","Web of Science","P>1. Agricultural intensification reduces ecological resilience of land-use systems, whereas paradoxically, environmental change and climate extremes require a higher response capacity than ever. Adaptation strategies to environmental change include maintenance of shade trees in tropical agroforestry, but conversion of shaded to unshaded systems is common practice to increase short-term yield. 2. In this paper, we review the short-term and long-term ecological benefits of shade trees in coffee Coffea arabica, C. canephora and cacao Theobroma cacao agroforestry and emphasize the poorly understood, multifunctional role of shade trees for farmers and conservation alike. 3. Both coffee and cacao are tropical understorey plants. Shade trees in agroforestry enhance functional biodiversity, carbon sequestration, soil fertility, drought resistance as well as weed and biological pest control. However, shade is needed for young cacao trees only and is less important in older cacao plantations. This changing response to shade regime with cacao plantation age often results in a transient role for shade and associated biodiversity in agroforestry. 4. Abandonment of old, unshaded cacao in favour of planting young cacao in new, thinned forest sites can be named 'short-term cacao boom-and-bust cycle', which counteracts tropical forest conservation. In a 'long-term cacao boom-and-bust cycle', cacao boom can be followed by cacao bust due to unmanageable pest and pathogen levels (e.g. in Brazil and Malaysia). Higher pest densities can result from physiological stress in unshaded cacao and from the larger cacao area planted. Risk-averse farmers avoid long-term vulnerability of their agroforestry systems by keeping shade as an insurance against insect pest outbreaks, whereas yield-maximizing farmers reduce shade and aim at short-term monetary benefits. 5. Synthesis and applications. Sustainable agroforestry management needs to conserve or create a diverse layer of multi-purpose shade trees that can be pruned rather than removed when crops mature. Incentives from payment-for-ecosystem services and certification schemes encourage farmers to keep high to medium shade tree cover. Reducing pesticide spraying protects functional agrobiodiversity such as antagonists of pests and diseases, pollinating midges determining cacao yields and pollinating bees enhancing coffee yield. In a landscape perspective, natural forest alongside agroforestry allows noncrop-crop spillover of a diversity of functionally important organisms. Knowledge transfer between farmers, agronomists and ecologists in a participatory approach helps to encourage a shade management regime that balances economic and ecological needs and provides a 'diversified food-and-cash crop' livelihood strategy."
